Beatmap,SR
3718970 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.45x Rate]],8.4870
3987000 | Hustler (feat. Highdiwaan) [1.15x],8.4792
2650376 | H.A.R.D.C.O.R.E. [Hell [1.25x Rate]],8.4744
2357902 | Triumphal Return [dou-jack 1.25],8.4635
2798830 | LTD Pack [Hatsuki Yura - Snow Veil],8.4513
3090570 | Crescent Moon Island [Kuro 1.1x (189bpm)],8.4385
3123872 | FUTURE DOMINATORS [NB5 Hard 54235 1.4x],8.4368
3402548 | KAERU [Frog Regrets 1.3x (298bpm)],8.4200
4399290 | Shoujo A [Quick and hateful cold [1.45x Rate]],8.4191
3261957 | arpia97's Vibro Anthology [Louder Machine (Hydria)],8.4138
3957739 | Can You Feel My Heart (Cut Ver.) [Anguish 1.2x (154bpm)],8.3973
4094064 | Rebirth the end [Denouement],8.3921
3645838 | The Empress [MASSACRE 1.1x],8.3850
3261952 | arpia97's Vibro Anthology [Good Luck Lilac (frolica)],8.3839
3909138 | You Say Run [Gift [1.15x Rate]],8.3818
3755588 | Odoru Mizushibuki [Macabre 1.4x (193bpm)],8.3806
3260899 | The Truth Never Spoken [Empty Pages 1.25x],8.3777
3261945 | arpia97's Vibro Anthology [Clattanoia (Staravia)],8.3660
3065264 | Break [Smash 1.2x],8.3636
4189254 | Matusa Bomber [1.2],8.3617
2690150 | Lemon Tree (Lemon Dance) [Challenge 1.1x],8.3602
3341783 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.) x1.05],8.3457
4204357 | STRONG 280 [POWERFUL 280 x1.05],8.3425
4317896 | KAMISORI [ERADICATE 1.3x],8.3377
4072971 | Dat Phonk [GET DOWN [1.05]],8.3320
3328352 | Sendan Life (katagiri Bootleg) [Chord Life [165]],8.3309
3674471 | GOTTASADAE [GOTTASADAE x1.3],8.3301
3106432 | WE LUV LAMA [NB4 Challenge 29 1.4x],8.3259
3261949 | arpia97's Vibro Anthology [Deep in Abyss],8.3204
2701200 | Time to Say Goodbye [Farewell 1.2x (300bpm)],8.3177
1896834 | DaemonophobiA [Osoreru],8.3080
3171267 | hurricanic -short size- [Challenge 1.05x],8.3028
3379607 | Yatsume Ana [<!> [x1.3]],8.2965
3261956 | arpia97's Vibro Anthology [late in autumn],8.2913
2511383 | LTD Pack [Skan - Give It To Dem (feat. Highdiwaan & Drama B)],8.2830
2333886 | White Hair Little Swords Girl [Youmu's Dream 1.05x],8.2795
1251231 | Trouble Kuroneko Man'yuuki [Ayumu's Distress 1.4x],8.2740
2794754 | Embraced by the Flame [Ifrit (301bpm)],8.2704
2511366 | LTD Pack [Ice - iL],8.2690
4288499 | Frontier Explorer [Black Another [1.4x]],8.2408
1540669 | arpia97's Vibro Anthology [Just Moving On Now],8.2397
4399291 | Shoujo A [Quick and hateful cold [1.4x Rate]],8.2351
4469722 | kill the dog [mourning],8.2321
4108898 | G e n g a o z o -Noize of Nocent- [Innocence 0.95x],8.2213
4398599 | Dimension Wars [Ragnarok],8.2029
1251236 | Trouble Kuroneko Man'yuuki [Ayumu's Trouble 1.4x],8.2019
2827581 | ch3rry [Sar4CORE! [1.4x Rate]],8.1957
3361869 | Naruto RMX [Tsukuyomi 1.2x],8.1863
3260900 | The Truth Never Spoken [Empty Pages 1.2x],8.1810
3773354 | Xronial Xero [ABXOLUTE ANNIHILAXION],8.1793
3718971 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.4x Rate]],8.1770
3032791 | LTD Pack [Yooh vs. Siromaru - Antagonism],8.1719
3281146 | Ankoku Butoukai [J-X],8.1650
3090620 | unravel [escapist 1.2x (162bpm)],8.1642
2357903 | Triumphal Return [dou-jack 1.2],8.1576
2333885 | White Hair Little Swords Girl [Youmu's Dream 1.025x],8.1503
3889548 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.35x (270bpm)],8.1474
3514860 | Me Tengo Que Ir [1.3],8.1363
4580605 | Return Of Salieri [He's returning with bags of Wabaloobunga...],8.1254
3588519 | traveling [flowing 1.2x (140bpm)],8.1227
3820255 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.25x],8.1219
2830266 | Hustler (feat. Highdiwaan) [1.1x],8.1176
2650377 | H.A.R.D.C.O.R.E. [Hell [1.2x Rate]],8.1037
3315959 | Kitsune no Yomeiri [Fox [160]],8.1029
3957736 | Can You Feel My Heart (Cut Ver.) [Anguish 1.15x (147bpm)],8.1015
"4153674 | Fight Against the Past [Leave the Past, Enter the Future]",8.0972
4485051 | Deep Down (Sped Up Ver.) [You & I (1.05x)],8.0908
4376982 | Everlasting Eternity [Majestic Presence],8.0850
3473681 | Do It To It (feat. Cherish) [1.3x],8.0688
3090568 | Crescent Moon Island [Kuro 1.05x (181bpm)],8.0615
3909139 | You Say Run [Gift [1.1x Rate]],8.0494
2793593 | far in the blue sky... [42],8.0470
3729618 | Makiba [Extra 1.2x (202bpm)],8.0410
3084906 | Matusa Bomber [1.15],8.0328
3328351 | Sendan Life (katagiri Bootleg) [Chord Life [160]],8.0253
3782700 | Reap What You Sow [1.2],8.0253
3816043 | Bookmaker [Extra],8.0232
3361327 | Ariabl'eyeS Collection [Kegarenaki Barajuuji 1.1x],8.0119
2333888 | White Hair Little Swords Girl [Youmu's Dream],8.0108
3877203 | NEURO-CLOUD-9 [099],8.0070
2511365 | LTD Pack [Hatsuki Yura - Onyx Veil],8.0014
3341785 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.)],7.9943
1347531 | Precious You* (TV Size) [Top-drawer / x1.3],7.9915
2701198 | Time to Say Goodbye [Farewell 1.15x (287bpm)],7.9896
2889383 | Karma [Gloom x1.4],7.9878
4584948 | Dat Phonk [GET DOWN],7.9844
3674470 | GOTTASADAE [GOTTASADAE x1.25],7.9834
4874228 | Angels Crying [here we go again 1.3x],7.9795
2433643 | Nest [Egg 1.2],7.9764
787944 | The Empress [MASSACRE 1.05x],7.9755
2875456 | Angel's Salad ('Le mythe etendu' ver.) [indifference 1.2],7.9651
4399288 | Shoujo A [Quick and hateful cold [1.35x Rate]],7.9578
2480045 | Who's That Boy [hear me blingo on my guitarra 30% faster],7.9574
4312004 | Parallel Universe Shifter [Quantum Field Disruption],7.9566
3640441 | Cry [Destruction],7.9556
3260897 | The Truth Never Spoken [Empty Pages 1.15x],7.9491
"3180933 | Excuse My Rudeness, But Could You Please RIP?<3 (t+pazolite Remix) [LN's Reaper 1.2x (312bpm)]",7.9457
3454815 | Pacific Girls [IcyWorld 1.4x],7.9432
3498613 | Las Avispas [Picadura [170]],7.9342
4388484 | hurricanic -short size- [Challenge],7.9331
1545535 | arpia97's Vibro Anthology [Ugoku Ugoku],7.9305
2465616 | NUCLEAR-STAR [Polaris (feat. _underjoy)],7.9222
3065261 | Break [Smash 1.15x],7.9197
3261947 | arpia97's Vibro Anthology [CLOSER],7.9122
2877294 | STRONG 280 [POWERFUL 280],7.9120
2524291 | Fly Me To The Moon (Infinite Climax Mix) (Cut Ver.) [1.3],7.9090
3889549 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.3x (260bpm)],7.9030
2191000 | Three Bastards [Cannibalistic Warlords],7.9028
