Beatmap,SR,Objects,Variety,Spikiness
3341784 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.) x1.1],8.6240,7909,2.9714,0.9196
3816041 | Bookmaker [Extra 1.1x],8.6197,5463,2.6956,1.0051
3473682 | Do It To It (feat. Cherish) [1.4x],8.6130,3167,2.5297,1.0361
3261950 | arpia97's Vibro Anthology [Electric Butterfly (ATTang)],8.6035,3004,2.4396,1.0294
3331057 | Kitsune no Yomeiri [Fox [170]],8.5908,2871,2.3122,0.9330
2295005 | Daichi ni Saku Senritsu [Impossible 1.3x],8.5826,4808,2.4290,1.0223
3261965 | arpia97's Vibro Anthology [Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui! (Staravia)],8.5733,1707,3.1282,1.1148
2333887 | White Hair Little Swords Girl [Youmu's Dream 1.1x],8.5707,3278,3.0859,0.9800
3328353 | Sendan Life (katagiri Bootleg) [Chord Life [170]],8.5527,3407,2.5114,0.9871
2480046 | Who's That Boy [hear me blingo on my guitarra 40% faster],8.5233,3706,2.5029,0.9518
2793589 | far in the blue sky... [42 [1.05]],8.5102,3167,2.7995,1.0524
4271568 | Onus Regulus [Conqueror Of The Universe | 4K Extreme],8.5099,4078,3.1493,1.0000
4388482 | hurricanic -short size- [Challenge 1.1x],8.4980,2944,2.4629,0.9963
3090570 | Crescent Moon Island [Kuro 1.1x (189bpm)],8.4755,2711,3.0058,0.9514
3358946 | volcanic [Challenge x1.1],8.4692,3412,2.4431,0.9890
3918921 | Deep Down (Sped Up Ver.) [You & I (1.1x)],8.4569,2072,2.7833,1.0319
3755588 | Odoru Mizushibuki [Macabre 1.4x (193bpm)],8.4560,1528,2.9236,0.9554
4009274 | Hylotl's LN Collection [katagiri - STRONG 280],8.4534,5483,3.1285,0.9697
3402548 | KAERU [Frog Regrets 1.3x (298bpm)],8.4532,4083,2.3988,0.9487
3361331 | Ariabl'eyeS Collection [Shuuen no Kane 1.1x],8.4501,7332,2.3932,0.9575
3718970 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.45x Rate]],8.4397,4910,2.4274,1.0021
3820258 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.3x],8.4397,3334,2.3024,0.9142
3442423 | PAM!!! feat. Onjuicy [FOXSKY Version] [^^ 1.2x],8.4361,3434,2.5399,1.0355
3987000 | Hustler (feat. Highdiwaan) [1.15x],8.4292,3014,2.8457,1.0485
3957739 | Can You Feel My Heart (Cut Ver.) [Anguish 1.2x (154bpm)],8.4252,2036,2.9109,1.0426
2650376 | H.A.R.D.C.O.R.E. [Hell [1.25x Rate]],8.4187,9093,2.3122,0.9509
2798830 | LTD Pack [Hatsuki Yura - Snow Veil],8.4162,4678,2.6886,1.0068
2827580 | ch3rry [Sar4CORE! [1.45x Rate]],8.4103,3640,2.6079,0.9663
3674471 | GOTTASADAE [GOTTASADAE x1.3],8.4062,2523,2.5232,0.9712
2357902 | Triumphal Return [dou-jack 1.25],8.3998,2639,2.5342,0.9476
3123872 | FUTURE DOMINATORS [NB5 Hard 54235 1.4x],8.3913,6047,2.3471,0.9422
4399290 | Shoujo A [Quick and hateful cold [1.45x Rate]],8.3793,4180,2.4485,0.9930
4094064 | Rebirth the end [Denouement],8.3791,15127,3.5792,0.9896
3909138 | You Say Run [Gift [1.15x Rate]],8.3714,3995,2.7655,1.0037
4189254 | Matusa Bomber [1.2],8.3547,3630,3.0371,0.9367
2701200 | Time to Say Goodbye [Farewell 1.2x (300bpm)],8.3229,3353,2.8256,1.0033
3260899 | The Truth Never Spoken [Empty Pages 1.25x],8.3152,2716,2.6212,0.9993
3065264 | Break [Smash 1.2x],8.3099,1973,2.4726,1.0129
3106432 | WE LUV LAMA [NB4 Challenge 29 1.4x],8.3077,5503,2.4807,0.9896
3645838 | The Empress [MASSACRE 1.1x],8.3061,5884,2.5429,0.9807
4317896 | KAMISORI [ERADICATE 1.3x],8.3003,2299,2.7920,0.9909
3341783 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.) x1.05],8.2962,7909,2.9695,0.9214
4204357 | STRONG 280 [POWERFUL 280 x1.05],8.2797,5596,2.5161,0.9665
3328352 | Sendan Life (katagiri Bootleg) [Chord Life [165]],8.2791,3407,2.5543,0.9873
2333886 | White Hair Little Swords Girl [Youmu's Dream 1.05x],8.2662,3278,3.0348,0.9767
4072971 | Dat Phonk [GET DOWN [1.05]],8.2603,2599,2.5584,0.9689
3261945 | arpia97's Vibro Anthology [Clattanoia (Staravia)],8.2587,1687,2.9776,1.2397
3379607 | Yatsume Ana [<!> [x1.3]],8.2481,4175,2.5482,0.9811
3261949 | arpia97's Vibro Anthology [Deep in Abyss],8.2372,1650,3.0434,1.1386
3171267 | hurricanic -short size- [Challenge 1.05x],8.2370,2944,2.5076,0.9997
4288499 | Frontier Explorer [Black Another [1.4x]],8.2236,2615,2.6864,0.9908
3261961 | arpia97's Vibro Anthology [Promise],8.2220,3175,2.8535,1.0396
2690150 | Lemon Tree (Lemon Dance) [Challenge 1.1x],8.2212,6358,1.9979,0.9421
2511383 | LTD Pack [Skan - Give It To Dem (feat. Highdiwaan & Drama B)],8.2210,4832,2.5824,1.0266
3261952 | arpia97's Vibro Anthology [Good Luck Lilac (frolica)],8.2168,1829,2.7528,1.1061
2511366 | LTD Pack [Ice - iL],8.2146,3439,2.8537,1.0010
1896834 | DaemonophobiA [Osoreru],8.2144,10678,2.5081,0.9976
4398599 | Dimension Wars [Ragnarok],8.2042,7082,3.4819,1.0327
4399291 | Shoujo A [Quick and hateful cold [1.4x Rate]],8.1892,4180,2.4624,0.9932
2794754 | Embraced by the Flame [Ifrit (301bpm)],8.1860,3986,2.8148,1.0414
3090620 | unravel [escapist 1.2x (162bpm)],8.1858,3623,3.2202,0.9943
1251231 | Trouble Kuroneko Man'yuuki [Ayumu's Distress 1.4x],8.1805,2924,2.3958,0.9770
3261957 | arpia97's Vibro Anthology [Louder Machine (Hydria)],8.1743,2863,2.5930,1.0061
3514860 | Me Tengo Que Ir [1.3],8.1740,4723,3.0817,1.0005
4108898 | G e n g a o z o -Noize of Nocent- [Innocence 0.95x],8.1442,13426,2.0208,0.9359
