Beatmap,SR,Objects,Variety,Spikiness
3715312 | Testify [Beyond | CS' Extra],5.8530,2404,3.6367,1.0506
1438046 | Hoshi o Kakeru Adventure ~ we are forever friends! ~ [Long ver.] [Epochal Adventure],5.8524,4596,3.6278,1.0759
4440674 | Fallen Symphony [Fallen Sky II],5.8524,6686,3.1305,1.0361
2975879 | Epidermis [Tribalism 1.2x],5.8514,2832,3.2433,1.0866
4230764 | Nirv lucE [End],5.8493,1864,3.4489,1.0142
4084392 | Digibuprofen [hinako's Electroacesodyne],5.8488,2496,3.7503,1.0601
1400786 | Sa'eed [Challenge],5.8475,7339,3.1045,0.9867
1480202 | Ice Angel [Marathon x1.2],5.8446,5328,2.3766,0.9413
1356904 | Piano Beatmap Set [Grandes Etudes No.6 - 4K Full],5.8439,3816,3.5059,1.0590
1695854 | Ame to Asphalt [ShuChan!! x eZmmR x Luka's drizzle],5.8438,2963,3.6960,1.0525
480466 | Rave 7 [Hard],5.8433,1460,3.3463,1.0238
"4747947 | Music Machine, Pt.2 [Kill Machine]",5.8410,3606,3.6636,1.0572
4308999 | c.s.q.n. [Hytex vs. Polarin's Conditio Sine Qua Non],5.8385,1798,3.5133,1.0075
4766759 | Tree of Misery [Agony],5.8376,2526,2.8595,1.0375
3142815 | I'm For You [Extra],5.8373,3661,3.3213,1.0338
3602751 | Yuki Otoko [Ichi's ULTIMA],5.8352,1962,3.5561,1.0823
2854183 | Cthugha [DnM vs Draftnell's Apocalypse],5.8351,2644,3.1534,1.0143
3390825 | ricky bobby [glitterpop 1.3x (312bpm)],5.8341,1459,3.3319,1.0664
1044352 | Rainbow Night Sky Highway [Act X. Epilogue],5.8340,1776,3.1049,1.1609
3777346 | RE:WIND [Precious x1.05],5.8338,4277,3.3651,0.9864
3584330 | refluxio [EXCEED],5.8321,1786,3.7934,0.9757
4399292 | Shoujo A [Quick and hateful cold],5.8304,4180,2.5929,0.9997
1171236 | Reason of being [Final Judgment / Extra],5.8303,1491,3.3978,1.0759
4342019 | Nyarlathotep's Dreamland [Extra],5.8297,2099,3.4036,0.9964
1014641 | Glorious Crown [DECADE's 4K Final Dimensional],5.8291,2125,2.8594,1.0045
4616622 | 1nput This 2 Y0ur Spine [Complete Madness],5.8282,3629,3.6260,1.0680
785580 | Kakuzetsu Thanatos [Isolation],5.8261,3372,3.2625,1.0597
4168877 | ABC (feat. Sophia Black) [abcdefghijklmnopqrstuvwxyz],5.8247,2343,3.4999,1.0252
3718972 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE!],5.8223,4910,2.4335,0.9999
3404772 | Chronos (Cut Ver.) [shattered will swirling into the dead soul],5.8217,1614,4.0240,1.0635
3080864 | Tenshi (True Final Boss) [INSANE],5.8210,2250,2.8963,0.9875
2536733 | Elemental Creation (kamome sano Remix) [JAZZ],5.8201,1414,3.4866,1.2141
4798351 | step by step [Brave For Your First Step],5.8201,2516,3.6957,1.1126
3903621 | T.R.A.P. [T.R.A.P.P.E.D.],5.8195,1840,3.5986,1.0346
4474117 | paranoia (Extended Edit) (Sped Up Ver.) [kizutsukenaide],5.8194,1699,2.7825,0.9624
3655893 | The Everlasting Calamity That Shifts The Time - Space Continuum... [Expert],5.8190,2135,3.3953,1.0332
2827582 | ch3rry [Sar4CORE!],5.8188,3640,2.7505,1.0047
4317707 | Desperado Waltz [Skogarmaor],5.8180,1699,3.7052,1.0231
2756523 | Awakening [Long Version] [Pengdoll's MAXIMUM],5.8176,2619,3.4917,1.0345
3470123 | M2U Pack [Lune // eZmmR's 4K],5.8173,1347,3.6526,1.0742
2289517 | Luin of Celtchar [Eternal Spear],5.8168,4775,3.4029,1.0156
2725456 | Undercover Martyn [Main Streets 1.3x],5.8165,2124,3.0196,1.0165
3937524 | Until the end of time [Eternally Onward],5.8163,1732,3.5848,1.0364
2782526 | springtime of life (2019 Rework) [The last cold snap],5.8158,2809,3.6875,1.0017
1159141 | Jumpstream Of Fighters Vol. 2B [Ultimate Weapon - Leo137's Edit 28],5.8154,2374,2.6358,0.9587
4404729 | Seiga Itten (Tanchiky 'JOURNEY OF MEMORY' Remix) [Moment],5.8153,1735,3.6632,1.0811
2658168 | REGGAETON BUT IT HAS AMEN BREAKS [ATREVETE],5.8147,6739,2.9120,1.0099
3755589 | Odoru Mizushibuki [Macabre],5.8146,1528,3.0793,0.9895
3385265 | ST4RDUST * XABER [Galaxy],5.8143,1487,3.5563,1.0771
4045501 | Fu Xiang Di Xin De Luo Ri Liu Hao ~ Little Raven [Wearing Her Eyes],5.8134,3593,3.5693,1.0278
1805773 | Tadoru Kimi o Koete [Wanderer],5.8127,1952,3.2214,0.9824
1219151 | Amber's Love Was Like A Marble (Billain Remix) [Rigidiorum],5.8126,3731,3.6879,1.0115
3856354 | M2U Pack [Magnolia // Lami-'s 4K],5.8121,2895,3.7575,1.0395
4494947 | 256*256 [65536],5.8113,2639,3.4575,1.0438
3823312 | Unleashed World [Desperate],5.8105,1895,3.2100,1.0192
3987711 | finorza [Nicknem's Extra],5.8102,4075,3.3535,1.0226
4174281 | Tiny Bunny [Cottontail],5.8100,2430,3.8691,1.0181
3467536 | Danger Drug [Hallucinate],5.8077,5265,3.5467,1.0617
"1505212 | ONIGIRI FREEWAY [Unagi Onigiri ""UHD""]",5.8073,2265,3.6071,1.0131
4476885 | Bluenation [1.1x],5.8063,4981,2.5158,0.9769
4843278 | Apocaliptix [Apocalypse],5.8043,1962,3.2667,0.9787
1838369 | INNOCENCE [MisterLuka's 4K Dark Repulser],5.8042,3877,3.3744,1.0353
2970431 | Hana ni Bourei [Flowers to you],5.8042,2600,3.7309,1.0573
2408897 | Zombie Sunset [Apocalypse [1.1x Rate]],5.8038,2544,3.5810,1.1171
970464 | Sapphire [Cerulean],5.8029,2536,3.0481,1.0637
1185190 | In Black & White [svart og hvitt],5.8022,3202,3.4074,1.0984
3566272 | Machinegun Poem Doll [Elegy],5.8020,2324,2.9746,1.0309
4755367 | Sayonara Planet Wars [Trifecta Insane],5.8018,3963,2.4999,0.9964
2301343 | Floating [7 Stages of Intoxication],5.8009,2250,3.3502,1.0281
4694291 | Once Again (VIP) [Carpi vs. grow's Amnehilesie],5.8008,2529,3.3770,1.0714
4155005 | Le Porteur d'Ombre [De4's Twilight],5.7996,1876,3.4726,1.0623
4530205 | 21st Century Schizoid Man [Progressive Rock],5.7996,4963,4.1973,1.0295
2127770 | Architecture [Expert],5.7985,3433,3.2990,1.1344
2886216 | Haruka [Moment x1.3],5.7982,3056,2.8006,1.0469
1753419 | Quadraphinix [Challenge 1.1x],5.7978,2398,2.8515,0.9908
4462335 | GAME MAKE OVER [RETRO ANAMNESIS],5.7965,3293,4.0386,1.0360
4224474 | O [To The Infinity | Extra],5.7964,2468,3.3036,1.0977
4770548 | Seraphim (Long Ver.) [Angelic],5.7961,3297,3.6078,1.0032
4236896 | Jumpstream Of Fighters Vol. 1B [Marc-Andre Hamelin - Circus Galop [Leo137 26]],5.7958,2437,2.8173,1.0514
2794432 | Impulse [The Reaction],5.7944,2705,4.1206,1.0837
1159266 | Jumpstream Of Fighters Vol. 2A [goreshit - toromi hearts 2 [Leo137 25]],5.7935,3616,2.7447,1.0255
2281312 | Angel Of Darkness (Nightcore Mix) [Kuroneko 1.2x],5.7924,2237,2.9623,0.9976
3227229 | Mood Breaker [Jack Breaker 1.1x],5.7913,2675,2.8306,1.0061
1082734 | Wh1teh Pack #3 [ZUN - Hiroari Kechou wo Iru Koto ~ Till When?],5.7903,1844,3.1055,1.0306
3951159 | 2013 In 10 Minutes [Nostalgia],5.7902,7767,3.9550,1.0942
1950799 | GHOST [SPECTRE (2017)],5.7881,4461,3.4288,1.0939
1051747 | Takas Pelikentil [1v1 me in source m8],5.7878,3447,2.2367,0.9113
2615505 | Ant IDM [The Antbulb (1.2x)],5.7853,1543,3.7264,1.1250
3315953 | Kitsune no Yomeiri [Fox [120]],5.7851,2871,2.3149,0.9285
2889644 | Flamenco House [Funky x1.1],5.7839,2308,3.1960,1.0060
3641354 | KINGWORLD [Ultimate],5.7826,3497,3.1686,1.0089
2749117 | Awakening [Long Version] [HEAVENLY],5.7819,2695,3.5458,1.0377
2790752 | Zen'on [Distress 1.1x (197bpm)],5.7818,5098,2.4848,0.9522
2444465 | Too Much Loli [x1.2],5.7815,2672,2.9606,1.0171
1561234 | I [Chicken AI's Maximum],5.7804,1637,3.5347,1.0532
1665871 | cold planet [Everybody Dance!],5.7793,1391,3.5617,1.0232
1615905 | Noborenai Sakamichi [The Hill And The Sunflowers],5.7787,4293,2.6948,0.9953
4287453 | c.s.q.n. [conditio sine qua non],5.7776,1813,3.4125,1.0350
1214526 | Dotabata Animation [feat. t+pazolite] [Ultra],5.7775,2508,3.3027,1.1140
1555892 | Yggdrasil [Gallows of Odin],5.7770,3956,3.4806,1.0947
1561272 | A Lasting Promise [MAXIMUM],5.7764,1558,3.4561,1.1228
2247597 | Colorful (Cut Ver.) [Coloured [125] [x1.3]],5.7758,1800,2.7218,1.0347
1517300 | Inverse World [Cosmos / Extra],5.7754,1681,3.4685,1.0338
916684 | Plushlined [Chordslayer],5.7754,2737,3.4069,1.0979
4378893 | ploof. [Continue to Shine in Someone Else.],5.7749,2665,3.5350,1.0339
3971487 | Take Me Higher [Ultra],5.7748,2868,3.4590,1.0892
3038378 | floating point (Drumcorps Remix) [Shoegazer's Incomputable],5.7740,2705,3.1946,1.1076
3784109 | ASGORE [!! 1.2x],5.7726,2059,3.0829,1.0513
4139445 | Lost Emotion (Amane UK Hardcore Remix) [Last Dance Heaven..],5.7720,4726,3.3985,1.0525
1361218 | Tenkai Rising (RiraN Psystyle Remix) [Tachyon Madness],5.7717,3205,2.9754,1.0327
1361220 | Tenkai Rising (RiraN Psystyle Remix) [Tenkai Madness],5.7717,3205,2.9754,1.0327
4767070 | daddy can change [extra],5.7703,1007,2.9635,0.9926
1159138 | Jumpstream Of Fighters Vol. 2B [White Peak - AZVW_2's Challenge 27],5.7702,4424,2.5572,0.9816
4133548 | Ange du Blanc Pur [The End],5.7691,2974,3.4798,1.0424
1159222 | Jumpstream Of Fighters Vol. 2B [EVERLASTING HAPPiNESS - Leo137's Hard 25],5.7688,2189,2.8193,0.9925
2276180 | CydraL [Automated Sacrifice],5.7683,3660,2.9706,1.0213
3702592 | astrid [black another],5.7680,1213,3.1339,1.0440
4334832 | Blizzard Heights [Hytex vs. Ucitysm's Beyond The Borealis],5.7679,1392,3.7441,1.0351
1258153 | KILL KILL KILL KILL KILL [QUINTUPLE HOMICIDE],5.7677,2003,3.5641,1.0621
4713413 | Wrong World [Never Regret],5.7676,2667,3.5685,0.9971
4020339 | Indomitable Spirit [Hommarju Remix] [[L]u[N]atic],5.7668,2537,3.4519,0.9341
4491298 | BIKE [EXTRA],5.7667,1220,3.6918,1.0508
3827154 | Rebellion Trigger [Chaotic Insurrection],5.7662,2449,3.2506,1.0824
"1079289 | Help me, ERINNNNNN!! - SH Style - [GRAVITY]",5.7657,1879,3.0534,1.0342
4625799 | Aozora Morning Glory (kageminori TwoRoom Edit) [Believe],5.7647,568,2.6354,0.9925
2958318 | VANGUARD-1 [voyager 1.2x],5.7645,1436,3.3247,1.0436
3562095 | Justify My Love [Heartbroken],5.7638,2247,2.7340,1.0447
1697076 | Carry Me Away (Extended Mix) [In Your Being],5.7637,3574,3.2115,1.1596
4066135 | Nibelungen [mmttyy's Black Another],5.7623,2148,3.5857,1.0625
4830971 | Killing Me If You Can (Guitar Instrumental Ver.) [Perfect Mind Control | Expert],5.7619,2917,3.3087,0.9963
4263716 | Colorful Toys Wonderland [LeiN-'s Enchantia // 4K],5.7615,1923,3.4470,1.0645
4346178 | dreamless wanderer [reverie],5.7610,3347,3.8720,1.0254
1026047 | TAKECORE OF YOURSELF [1.1x],5.7598,5857,2.6581,0.9670
3932380 | Wedding of the Goodbye [Louise (>w<)],5.7592,6295,2.5432,0.9608
1282854 | Her Majesty [Another 1.1x],5.7587,1991,2.6380,1.0305
3470129 | M2U Pack [Myosotis // eZmmR's 4K],5.7587,1593,3.8077,1.0696
3560499 | Retrospective Arabesque [Symmetric],5.7586,1625,3.4704,1.0143
3574256 | RPG [Terminator],5.7585,5407,3.7588,1.0311
3497646 | FELT LN Collection [World of You],5.7584,2667,3.7581,1.0547
1159131 | Jumpstream Of Fighters Vol. 2B [Dark Avatara Beam (Le Dos-on Remix) - Leo137's Challenge 28],5.7575,2340,2.4782,0.9319
3996857 | INF-B <L-aste-R> [GRAVITY],5.7552,1798,3.2424,0.9947
3620489 | Angel's Ladder [lemonguy's Ascension to Heaven],5.7544,1741,3.6405,0.9887
3182588 | Tentaclar Aliens' Epic Extraterretterrestrial Jungle Dance Party... [Aesthetic Singularity],5.7543,4241,3.5760,1.0230
4237957 | Anti Safety Zone [Quarantine],5.7539,1924,3.6811,0.9743
2382492 | Sugar Loli [x1.15],5.7537,2350,3.0739,1.0160
2469420 | #1f1e33 [Black Fate],5.7522,2600,3.0809,1.0208
4481214 | Ichirin [Polaris.],5.7516,1308,3.9330,1.0812
1812562 | Konran Shoujo Soflan-chan!! [GRAVITY],5.7511,1739,3.7634,1.0826
3672140 | GHOUL [Spiritual Disaster 1.1x],5.7506,3949,3.2442,1.0691
3177794 | SCREW // owo // SCREW [Dub's Black Another],5.7505,1805,3.8471,1.0281
"4275496 | Evening (Bereave, Blood, Black) [Annihilation]",5.7494,6108,3.7633,1.0684
2494678 | Verflucht [Prophecy (225bpm)],5.7492,1427,2.8830,1.0145
1038662 | The Warrior Inside [4K Collab Gladiator],5.7469,5850,3.1679,1.0329
2930984 | Ka [Ka],5.7457,1897,3.8681,1.0865
3988029 | BEYOND [RC Extra],5.7455,2242,3.0510,1.0576
4557635 | Continue! feat. Aitsuki Nakuru [Continue To You Tomorrow!],5.7452,3314,3.3954,1.0194
1058228 | SUPER EUROBEAT FOR RUNNING SELECTIONS [[SPEED & JACK] ANNERLEY GORDON - ON MY OWN 2006 (SPED UP VER.)],5.7450,3700,3.0416,1.0537
4451306 | K Zvyozdam Vyshe [Cosmos],5.7443,4420,3.1652,1.0318
2978272 | End Time [Time is now cancelled],5.7438,1385,3.7321,1.0480
1837187 | Sore wa Mahiru no Suisei (Chroma gochapon remix) [goodbye (Extra)],5.7431,4444,2.7390,1.0577
3796796 | lost found melody [Losing and Finding],5.7429,3063,3.7168,1.0316
2877806 | Bookmaker [Drago's Extra],5.7427,3887,3.2366,1.0460
528399 | Disconnected [Fullerene-'s 4K SHD],5.7427,2436,2.4895,0.9799
1565515 | #MAGiCVLGiRL_TRVP_B3VTZ [GVIL'Z_LNZ],5.7399,1634,3.6116,1.0198
4292249 | EncorE & cALL [MAXIMUM],5.7394,1596,3.5890,1.0073
2315090 | Fly Like You [mint's MAXIMUM],5.7392,1351,3.9206,1.0436
4073580 | INTERNET YAMERO [ExNeko's Expert],5.7388,2789,3.7550,0.9815
4476964 | Disconnected -Trance Mix- [Challenge],5.7388,1775,2.6347,1.0032
976201 | Dark Flight Dreamer [LN MASTER SPARK!!],5.7381,2452,3.5674,1.0114
2295244 | POWA OF DA WILDANES [YATSUKAMIZUOMITSUNO],5.7374,3326,3.6493,1.1162
938009 | Wh1teh Pack #1 [DJ SHARPNEL - STRANGEPROGRAM],5.7373,3259,2.9769,1.0645
2562218 | Noel [Joyeux],5.7365,1664,3.8521,1.0604
3943642 | INSIDE BLUE INSIDE - Part2 [Demersal],5.7362,2939,4.2148,1.0304
4667037 | Space Angel (Cut Ver.) [Apol's Another],5.7361,1845,3.8575,1.0455
1293172 | Algorithm (Hitech Psy Self-remix) [Paradox],5.7359,5221,3.3229,1.2312
2902829 | Captain Jack [Captain Jack],5.7357,4170,2.7260,1.0004
2266610 | SUIKINKUTSU (feat. Uehara Hiromi) [1.1x],5.7349,6108,3.3107,1.0215
4288500 | Frontier Explorer [Black Another],5.7349,2615,2.7769,1.0018
3947157 | Initiating League [MAXIMUM],5.7346,1820,3.0617,1.0428
3928732 | Spin Eternally [Mawaru VIP],5.7343,3366,3.3878,1.0655
3807222 | DEAD END [Fantasy Mythology],5.7341,4932,2.5317,0.9867
3756482 | Breakin' Rules [Alice's Probation 1.2x],5.7339,1594,3.3272,1.0776
1454026 | Toki (maidable remix) [Eternal],5.7336,1387,3.5701,1.0543
3965003 | Ascension to Heaven [The Empyrean],5.7335,3791,2.7042,0.9969
2322546 | The Worst [Terrible 1.3x],5.7332,2365,3.2727,1.0945
3786397 | ON FIRE [ARSONIST [EXTRA]],5.7332,2882,3.5519,1.0904
4049436 | *LASAGA* [GARFIELDCORE],5.7331,1830,3.5308,1.0428
1254093 | Sheriruth [Arzenvald's EXtinction],5.7322,2523,3.1117,1.0744
1014639 | Glorious Crown [Chicken's 4K Extra],5.7318,1837,2.9943,1.0298
3328132 | Palace of Melancholia [Desolation],5.7314,4875,3.4883,1.0631
2742776 | BUCHiGiRE Berserker [Berserker],5.7312,2311,3.2992,1.0478
1895641 | Fin.ArcDeaR Long ver. [HEAVENLY],5.7293,3099,3.3630,1.0299
3508949 | #SpeedyCats [#NYAXIMUM],5.7282,1880,3.3710,1.0326
3855884 | Waaa [:bring_everyone_together:],5.7277,1821,3.4272,0.9951
1609983 | Move That Body -Extended Mix- [Dance],5.7276,2989,3.7271,1.0066
4319141 | olin en pakala [awen la mi lon],5.7253,3334,3.9184,1.0533
"450928 | Over the Fullereneshift [Komm, susser Tod]",5.7252,4221,2.8624,0.9992
3188406 | Zia's 4K Stream Training Pack [Camellia - Fastest Crash (210BPM Jumpstream & Handstream)],5.7220,3705,3.0813,1.0122
855471 | Endless Tewi-ma Park [Arcwin Lost Tewicated],5.7216,2196,2.7338,1.1103
3258429 | Apollo [Lunatic],5.7209,2283,3.4160,1.0787
3873701 | Kakushigoto [IcyBath's Secret],5.7190,4006,2.7614,0.9761
4767847 | Split EX (Instrumental Ver.) [UCITYSM'S SIMULATION OVERRIDE],5.7183,2646,3.4385,1.0222
3106434 | WE LUV LAMA [NB4 Hard 16 1.1x],5.7170,4600,2.7070,1.0160
2058934 | you can recover [restoration 1.4x],5.7166,1344,3.2131,1.0610
1238978 | Beethoven Influenza [Infection],5.7161,1767,3.6496,1.3344
3614089 | Ska-sh All Neurons!! [Neurological Dysfunction],5.7149,1829,3.5604,1.0447
2238671 | Transhumanist [inhuman],5.7148,3703,3.3633,1.0991
1079906 | Heaven's Fall [Nightfall],5.7125,3100,3.1140,1.0913
350094 | Bangin' Burst [EXHAUST Lv.16],5.7121,1657,3.3693,1.3090
553623 | Ningen Shikkaku [Tidek's 4K SHD],5.7118,4349,3.1095,1.0377
4236898 | Jumpstream Of Fighters Vol. 1B [sun3 - Mission Complete [Leo137 28]],5.7116,6021,2.3039,0.9447
1104774 | ETERNAL DRAIN [Black Another],5.7108,2010,3.0860,1.0221
3478330 | XENOViA [XEUS],5.7099,1745,3.4840,1.0801
"4311877 | Ahhhh, These Chains! [Swaying Along]",5.7097,3530,4.2114,1.0514
2182353 | Holding out for a Hero [H [x1.15]],5.7095,3143,2.9915,1.0231
531416 | Just Hold on [Fullerene's Shift],5.7087,3176,3.0729,1.0369
"4548657 | 3-ji 12-fun [My dream... ""Change the world.""]",5.7071,2221,4.2330,1.0703
4339625 | azalea [MAXIMUM],5.7062,1937,3.1733,1.0557
2787818 | Scarlet Tempest [Tempest 1.2x (198bpm)],5.7056,1814,3.1097,1.0447
3703437 | Pentiment [FLeVI's Beyond],5.7056,2226,3.4429,1.0208
1004136 | Glitch Nerds [NerdZ_.],5.7055,4363,3.5421,1.0564
4476965 | Disconnected -Trance Mix- [Hard],5.7050,1674,2.6007,1.0379
3183459 | Q.E. [Insane 1.1x (184bpm)],5.7038,1890,3.4034,1.1050
1357740 | Re:TrymenT [ShuChan!!],5.7027,2890,3.6477,1.0516
2428042 | najimi breakers [Extra],5.7026,1916,2.6549,0.9628
4522137 | cheatreal [EX],5.7025,4590,2.8247,1.0337
2598596 | Grievous Lady -nothing is but what is not- [Disillusionment],5.7015,3709,3.8326,1.0628
4223795 | Colorful (tamame's apostate remix) [Madoka],5.7015,4819,3.0762,1.0408
2623352 | Party Time [Lunatic Party],5.7011,3053,3.5772,1.0821
494822 | Mastication Numerique [Mastication],5.7011,1549,3.4574,1.1416
3182272 | Clip it Bro [DnM's Extra],5.6979,3420,3.3417,1.1455
2578352 | Technical Complexes Vol. 1 [Future Nyan Bass [SaltedFISSH]],5.6974,3131,3.3637,1.0840
429552 | M.A.M.A. [SHD],5.6968,2138,3.1492,1.1051
3749866 | super anime groove 3d world [rhythmic],5.6964,2714,3.7122,1.0686
"3699537 | Infinite Strife, [Extinction]",5.6963,2515,3.2285,1.0225
3689547 | fuego (sakuraburst remix) (Cut Ver.) [walker's dream],5.6960,1511,3.9911,1.0329
532796 | Speedcore 300 [Extra],5.6957,2053,3.2028,1.1583
3809999 | Why do you hate me? [Please don't leave me],5.6944,3966,3.8015,1.0426
1262375 | Gems Pack 14 - LN Master 6th [[16] Felt - Other Side],5.6937,2526,3.6305,1.0934
3413311 | OWA Raged in Vegas (Fuck Bees) [PLAY FN ON MIRROR ITS SO MUCH EAS 1.05x (244bpm)],5.6933,3021,3.3421,1.0978
2729496 | Back! to the Future (Cut Ver.) [Jack! to the  Future 1.1x (132bpm)],5.6932,2050,2.7855,1.0464
4326787 | Orthoplexed [Expert],5.6919,2289,3.2040,0.9886
4163780 | HUGE W [W],5.6914,3654,3.3274,1.0438
3172741 | Jack Dumps [SHIKI - Angelic Layer],5.6906,2322,2.8379,1.0311
2118448 | Bi [Bong Botes],5.6898,1623,3.3506,0.9880
584403 | Boulafacet [SHD],5.6896,1712,3.4639,1.0535
3998581 | Violence [Violate the I],5.6894,3134,3.3597,1.0203
3865636 | Fuuen no 135-byou [Eternal Flame],5.6892,1637,3.6085,1.0826
3978559 | Oxalis [Oxalidaceae],5.6892,4890,2.8516,1.0162
3454816 | Pacific Girls [IcyWorld],5.6891,5898,2.4600,0.9610
1752295 | Salamandra no Odoriko [Sprites],5.6889,2712,3.3871,1.0464
1872634 | Bison Charge [Expert],5.6889,1387,3.5506,1.0506
3510035 | MixxioN [EXCEED],5.6889,1706,3.4089,1.0244
659239 | Mario Paint (Time Regression Mix for BMS) [D-NORMAL],5.6881,1506,2.8262,1.0063
3499194 | Gemini [.z],5.6880,2413,3.2991,1.0236
3398798 | Euphoria (Cut Ver.) [Zenith],5.6877,2435,3.2606,1.0229
4806301 | my addiction [Addictive],5.6859,5445,2.8368,1.0050
4887879 | Senkou no Flare [Tragedia],5.6858,5115,2.6529,0.9523
2601016 | Delrio [For The Rivers],5.6848,2234,3.8661,1.0253
1125576 | Dream to Nightmare [Nightmare],5.6845,1484,3.4379,1.1352
2391317 | Feelsleft0ut [neglect3d],5.6842,1571,3.1356,1.0439
3875852 | Son of Robot [Release // Ultra],5.6839,2898,3.0225,1.0087
3182136 | Counter Clockwise Chant Pattern [Timebomb 1.1x (155bpm)],5.6835,2934,3.5387,1.1251
2272532 | Caravan [drown],5.6833,6265,4.0120,1.1248
1705686 | Flower Dance [Inflorescence [1.2x]],5.6829,2960,2.6799,1.0512
"4209299 | #SWAGG ANTHEM! [CHAT, OPZIONI, BLOCCO!]",5.6829,1381,3.6684,1.0422
3970175 | First Kiss [Tasmanian Glow],5.6826,4080,3.6421,1.0246
4276106 | FUTURE EVE (Game Ver.) [METAVERSE],5.6820,1784,3.7258,0.9614
4554408 | Ataraxia [4K Extra],5.6815,1819,3.3849,0.9395
"4569241 | Sense (""Leads to Another"" Full Version) [Labyrinth]",5.6811,3292,4.2146,1.0770
2956638 | Glitched Character [Overload],5.6796,3479,3.7452,1.1668
3138040 | super anime groove 3d world [Jacky Groove // 1.1x],5.6791,2528,2.9465,0.9968
2649579 | Innocent [VIVID],5.6784,1855,3.0968,1.0013
1562399 | Last Resort [Arpia's EXHAUST],5.6783,1802,3.4138,1.0548
1824765 | Uranium [Radioactive Noodles],5.6765,1795,3.2080,0.9911
3813704 | Gemini Enjoy My Life [Extra],5.6757,3480,2.8861,1.0074
4236900 | Jumpstream Of Fighters Vol. 1B [xi - Angelic Party [Leo137 27]],5.6751,4909,2.2966,0.9267
"1458918 | Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo. [GODLIKE]",5.6749,6289,3.4609,1.0555
4001320 | Sentimental Surge [Dopamine],5.6749,3695,2.9589,1.0433
3454800 | Pacific Girls [Fullerene- 1.05x],5.6728,4940,2.8010,1.0136
4266621 | Ten'imuhou [Absolute],5.6728,3572,3.5783,0.9856
2548261 | Cyberia lyr3 [Razor Blades [1.1x Rate]],5.6718,3385,2.4890,0.9757
3947564 | Wildfire [Cthugha],5.6715,3362,3.3054,1.0588
4231300 | Glucagon [4K Challenge],5.6703,3145,2.8454,1.0859
2886226 | Haruka [FolAH's Reminiscence x1.4],5.6702,2754,2.8789,1.0626
4236895 | Jumpstream Of Fighters Vol. 1B [honey princess - LOVE*BEAM (orange summer mix) [Leo137 25]],5.6698,2065,2.6131,0.9590
4133543 | Ange du Blanc Pur [Extra],5.6687,2786,3.5701,1.0625
1082727 | Wh1teh Pack #3 [NS-Factory X deadblue238 X hi-low - Infinite Galaxy],5.6681,2307,2.7794,0.9806
1927516 | crossing blue [4K HEAVENLY],5.6672,1875,3.4181,1.0310
4056018 | Wolves Standing Towards Enemies [Ninaye's Moonlight | Extra],5.6671,2294,3.6012,1.0259
893899 | G1ll35 d3 R415 [Shana's Extra],5.6667,3504,3.3004,1.1876
4250977 | Shirohana no Tenshi [Sora],5.6665,1832,3.7463,1.0397
560754 | Yolomania Vol. 3A [Ray Riendeau - The Alchemist [Scintill] 18],5.6662,1082,3.7573,1.2832
3018043 | Aegleseeker [Seiran's Beyond],5.6660,1882,3.3133,1.0012
3089176 | REKKA RESONANCE [RESONANCE],5.6653,1948,3.4310,1.0782
3723846 | The Ricochet [Extra],5.6649,1714,3.8327,1.0090
4359136 | Dreamin' attraction!! [Murumoo's Beyond!!],5.6645,2185,3.1033,1.0122
2721488 | DVP [GROW UP],5.6640,2063,3.7644,0.9870
1244035 | SUPER EUROBEAT FOR RUNNING SELECTIONS VOL. 2 [[JACK] STOP YOUR SELF CONTROL - MARKO POLO (SPED UP VER.)],5.6635,2397,2.7904,1.0404
3650421 | AZISAI (Long ver.) [Sincerity Hydrangea],5.6635,4737,3.4926,1.0832
2889384 | Karma [Gloom],5.6633,4496,3.2196,0.9713
3718740 | Mukishitsu Sekai ni Irodori o [Coloring Book],5.6619,1437,3.4086,1.0659
2854566 | Aqua Regia [Crystalline],5.6615,4134,3.4617,1.1030
2409887 | Singularity [CS' Extraordinary],5.6603,1779,3.2916,1.0888
2295136 | Keep smiling. [Be happy.],5.6598,4244,3.4853,1.0419
285623 | Kamui [Insane],5.6594,1351,3.4921,1.2055
3181691 | FAKE PROMISE [Eternity 1.1x (210bpm)],5.6594,4015,2.7733,0.9433
4530505 | And Revive The Melody [Resurrection | MASTER],5.6591,2230,3.7897,1.0367
3961686 | ARTEMiS [LUNARiA],5.6588,1965,3.3981,1.0129
3117228 | Daisycutter [Firestorm x1.1],5.6562,1453,3.6360,1.0096
"4360616 | PF Concerto No.1 ""Anti-Ares"" (Nandemo Suikomu Pink-Iro no Tame no) [Constellation // Extra]",5.6562,2901,3.3664,1.0125
3182324 | Endless feat. Mameyudoufu (Mameyudoufu Remix) [Divergence],5.6550,2570,3.6336,1.0451
1637189 | Finixe [Ash's Black Another],5.6544,2384,2.8771,0.9995
4161275 | Tsugaru Setsu long ver. feat. Iwasaki Aiko [Challenge],5.6514,4045,3.5210,1.1034
3135906 | one of none [observer 1.1x (132bpm)],5.6503,1510,3.1714,1.0076
1958309 | Grin [Piano Concerto],5.6500,1949,3.1878,1.1047
