Beatmap,SR
4485054 | Deep Down (Sped Up Ver.) [You & I (1.35x)],9.9549
4421697 | H.A.R.D.C.O.R.E. [Hell [1.45x Rate]],9.7320
3442425 | PAM!!! feat. Onjuicy [FOXSKY Version] [^^ 1.4x],9.7135
4496827 | Deep Down (Sped Up Ver.) [You & I (1.3x)],9.6785
2793592 | far in the blue sky... [42 [1.2]],9.6303
3095005 | Break [Smash 1.4x],9.5776
4421698 | H.A.R.D.C.O.R.E. [Hell [1.4x Rate]],9.4269
3816042 | Bookmaker [Extra 1.2x],9.4116
3526591 | Triumphal Return [dou-jack  1.4],9.3706
4485053 | Deep Down (Sped Up Ver.) [You & I (1.25x)],9.3430
2793591 | far in the blue sky... [42 [1.15]],9.3262
3261940 | arpia97's Vibro Anthology [adrenaline!!!],9.2980
3986997 | Hustler (feat. Highdiwaan) [1.3x],9.2546
2295006 | Daichi ni Saku Senritsu [Impossible 1.4x],9.2526
3442424 | PAM!!! feat. Onjuicy [FOXSKY Version] [^^ 1.3x],9.2082
1545540 | arpia97's Vibro Anthology [Back To The Gate],9.2061
4108899 | G e n g a o z o -Noize of Nocent- [Innocence 1.05x],9.1726
3918922 | Deep Down (Sped Up Ver.) [You & I (1.2x)],9.1443
3090571 | Crescent Moon Island [Kuro 1.2x (206bpm)],9.1207
3261951 | arpia97's Vibro Anthology [Embrace Blade (Remix)],9.1061
3261953 | arpia97's Vibro Anthology [Grayed Out -Antifront-],9.1019
3402549 | KAERU [Frog Regrets 1.4x (321bpm)],9.0984
2650379 | H.A.R.D.C.O.R.E. [Hell [1.35x Rate]],9.0976
2357905 | Triumphal Return [dou-jack  1.35],9.0643
3261960 | arpia97's Vibro Anthology [Paradisus-Paradoxum],9.0513
3065265 | Break [Smash 1.3x],9.0415
2690151 | Lemon Tree (Lemon Dance) [Challenge 1.2x],9.0260
4072973 | Dat Phonk [GET DOWN [1.15]],9.0211
1540681 | arpia97's Vibro Anthology [Bonobono (Hyeon)],9.0205
3820260 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.4x],9.0177
4388483 | hurricanic -short size- [Challenge 1.2x],9.0164
3986999 | Hustler (feat. Highdiwaan) [1.25x],8.9667
3358947 | volcanic [Challenge x1.2],8.9545
3261941 | arpia97's Vibro Anthology [Aim Burst (frolica)],8.9474
2793590 | far in the blue sky... [42 [1.1]],8.9316
1545542 | arpia97's Vibro Anthology [^^7],8.9096
3361870 | Naruto RMX [Tsukuyomi 1.3x],8.8667
4485052 | Deep Down (Sped Up Ver.) [You & I (1.15x)],8.8438
3379608 | Yatsume Ana [<!> [x1.4]],8.8378
3588520 | traveling [flowing 1.3x (152bpm)],8.8323
3261946 | arpia97's Vibro Anthology [CLICK],8.8201
3261943 | arpia97's Vibro Anthology [Border 1.1x (Topovn)],8.8187
3090569 | Crescent Moon Island [Kuro 1.15x (198bpm)],8.8124
2650378 | H.A.R.D.C.O.R.E. [Hell [1.3x Rate]],8.8119
2357904 | Triumphal Return [dou-jack 1.3],8.8103
4388481 | hurricanic -short size- [Challenge 1.15x],8.8041
3645837 | The Empress [MASSACRE 1.15x],8.8025
3820257 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.35x],8.7994
4317897 | KAMISORI [ERADICATE 1.4x],8.7962
4204358 | STRONG 280 [POWERFUL 280 x1.1],8.7945
4130350 | G e n g a o z o -Noize of Nocent- [Innocence],8.7915
3986995 | Hustler (feat. Highdiwaan) [1.2x],8.7667
3261950 | arpia97's Vibro Anthology [Electric Butterfly (ATTang)],8.7529
3260901 | The Truth Never Spoken [Empty Pages 1.3x],8.7276
4072972 | Dat Phonk [GET DOWN [1.1]],8.7228
659237 | Mario Paint (Time Regression Mix for BMS) [D-ANOTHER],8.7207
3065263 | Break [Smash 1.25x],8.6999
3473682 | Do It To It (feat. Cherish) [1.4x],8.6975
3816041 | Bookmaker [Extra 1.1x],8.6770
4189255 | Matusa Bomber [1.25],8.6650
3341784 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.) x1.1],8.6632
3261965 | arpia97's Vibro Anthology [Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui! (Staravia)],8.6522
3909140 | You Say Run [Gift [1.2x Rate]],8.6482
2295005 | Daichi ni Saku Senritsu [Impossible 1.3x],8.6394
3729619 | Makiba [Extra 1.3x (219bpm)],8.6307
3331057 | Kitsune no Yomeiri [Fox [170]],8.6253
3328353 | Sendan Life (katagiri Bootleg) [Chord Life [170]],8.6026
2333887 | White Hair Little Swords Girl [Youmu's Dream 1.1x],8.5883
3261958 | arpia97's Vibro Anthology [Louder Machine],8.5718
2480046 | Who's That Boy [hear me blingo on my guitarra 40% faster],8.5641
2793589 | far in the blue sky... [42 [1.05]],8.5631
4388482 | hurricanic -short size- [Challenge 1.1x],8.5544
4271568 | Onus Regulus [Conqueror Of The Universe | 4K Extreme],8.5525
3261961 | arpia97's Vibro Anthology [Promise],8.5217
