Beatmap,SR
3361331 | Ariabl'eyeS Collection [Shuuen no Kane 1.1x],8.5181
3442423 | PAM!!! feat. Onjuicy [FOXSKY Version] [^^ 1.2x],8.5080
4009274 | Hylotl's LN Collection [katagiri - STRONG 280],8.5054
3918921 | Deep Down (Sped Up Ver.) [You & I (1.1x)],8.5029
3358946 | volcanic [Challenge x1.1],8.4946
3820258 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.3x],8.4912
2827580 | ch3rry [Sar4CORE! [1.45x Rate]],8.4866
3718970 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.45x Rate]],8.4859
3987000 | Hustler (feat. Highdiwaan) [1.15x],8.4776
2650376 | H.A.R.D.C.O.R.E. [Hell [1.25x Rate]],8.4741
2357902 | Triumphal Return [dou-jack 1.25],8.4632
2798830 | LTD Pack [Hatsuki Yura - Snow Veil],8.4449
3090570 | Crescent Moon Island [Kuro 1.1x (189bpm)],8.4354
3123872 | FUTURE DOMINATORS [NB5 Hard 54235 1.4x],8.4350
3402548 | KAERU [Frog Regrets 1.3x (298bpm)],8.4164
4399290 | Shoujo A [Quick and hateful cold [1.45x Rate]],8.4122
3261957 | arpia97's Vibro Anthology [Louder Machine (Hydria)],8.4114
4094064 | Rebirth the end [Denouement],8.3916
3957739 | Can You Feel My Heart (Cut Ver.) [Anguish 1.2x (154bpm)],8.3900
3645838 | The Empress [MASSACRE 1.1x],8.3832
3909138 | You Say Run [Gift [1.15x Rate]],8.3810
3260899 | The Truth Never Spoken [Empty Pages 1.25x],8.3774
3755588 | Odoru Mizushibuki [Macabre 1.4x (193bpm)],8.3663
3065264 | Break [Smash 1.2x],8.3615
4189254 | Matusa Bomber [1.2],8.3578
4204357 | STRONG 280 [POWERFUL 280 x1.05],8.3401
3341783 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.) x1.05],8.3314
3328352 | Sendan Life (katagiri Bootleg) [Chord Life [165]],8.3290
4072971 | Dat Phonk [GET DOWN [1.05]],8.3255
3674471 | GOTTASADAE [GOTTASADAE x1.3],8.3254
3106432 | WE LUV LAMA [NB4 Challenge 29 1.4x],8.3240
2701200 | Time to Say Goodbye [Farewell 1.2x (300bpm)],8.3161
1896834 | DaemonophobiA [Osoreru],8.3076
3261952 | arpia97's Vibro Anthology [Good Luck Lilac (frolica)],8.3029
4317896 | KAMISORI [ERADICATE 1.3x],8.2981
3261949 | arpia97's Vibro Anthology [Deep in Abyss],8.2963
3379607 | Yatsume Ana [<!> [x1.3]],8.2935
3171267 | hurricanic -short size- [Challenge 1.05x],8.2877
2511383 | LTD Pack [Skan - Give It To Dem (feat. Highdiwaan & Drama B)],8.2792
2333886 | White Hair Little Swords Girl [Youmu's Dream 1.05x],8.2790
2690150 | Lemon Tree (Lemon Dance) [Challenge 1.1x],8.2766
2794754 | Embraced by the Flame [Ifrit (301bpm)],8.2608
3261945 | arpia97's Vibro Anthology [Clattanoia (Staravia)],8.2556
2511366 | LTD Pack [Ice - iL],8.2535
1251231 | Trouble Kuroneko Man'yuuki [Ayumu's Distress 1.4x],8.2365
4288499 | Frontier Explorer [Black Another [1.4x]],8.2361
4469722 | kill the dog [mourning],8.2262
4399291 | Shoujo A [Quick and hateful cold [1.4x Rate]],8.2231
4108898 | G e n g a o z o -Noize of Nocent- [Innocence 0.95x],8.2103
4398599 | Dimension Wars [Ragnarok],8.2012
2827581 | ch3rry [Sar4CORE! [1.4x Rate]],8.1949
1540669 | arpia97's Vibro Anthology [Just Moving On Now],8.1875
3361869 | Naruto RMX [Tsukuyomi 1.2x],8.1808
3260900 | The Truth Never Spoken [Empty Pages 1.2x],8.1807
3718971 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.4x Rate]],8.1759
3773354 | Xronial Xero [ABXOLUTE ANNIHILAXION],8.1747
3090620 | unravel [escapist 1.2x (162bpm)],8.1621
1251236 | Trouble Kuroneko Man'yuuki [Ayumu's Trouble 1.4x],8.1615
3032791 | LTD Pack [Yooh vs. Siromaru - Antagonism],8.1603
2357903 | Triumphal Return [dou-jack 1.2],8.1573
2333885 | White Hair Little Swords Girl [Youmu's Dream 1.025x],8.1497
3889548 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.35x (270bpm)],8.1473
3261956 | arpia97's Vibro Anthology [late in autumn],8.1384
3514860 | Me Tengo Que Ir [1.3],8.1278
4580605 | Return Of Salieri [He's returning with bags of Wabaloobunga...],8.1237
3820255 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.25x],8.1211
2830266 | Hustler (feat. Highdiwaan) [1.1x],8.1171
2650377 | H.A.R.D.C.O.R.E. [Hell [1.2x Rate]],8.1035
"4153674 | Fight Against the Past [Leave the Past, Enter the Future]",8.0957
3957736 | Can You Feel My Heart (Cut Ver.) [Anguish 1.15x (147bpm)],8.0916
4485051 | Deep Down (Sped Up Ver.) [You & I (1.05x)],8.0905
4376982 | Everlasting Eternity [Majestic Presence],8.0848
3315959 | Kitsune no Yomeiri [Fox [160]],8.0845
3473681 | Do It To It (feat. Cherish) [1.3x],8.0684
3281146 | Ankoku Butoukai [J-X],8.0586
3090568 | Crescent Moon Island [Kuro 1.05x (181bpm)],8.0579
3588519 | traveling [flowing 1.2x (140bpm)],8.0503
3909139 | You Say Run [Gift [1.1x Rate]],8.0484
2793593 | far in the blue sky... [42],8.0411
3729618 | Makiba [Extra 1.2x (202bpm)],8.0407
3084906 | Matusa Bomber [1.15],8.0296
3328351 | Sendan Life (katagiri Bootleg) [Chord Life [160]],8.0211
3816043 | Bookmaker [Extra],8.0197
3782700 | Reap What You Sow [1.2],8.0166
2333888 | White Hair Little Swords Girl [Youmu's Dream],8.0106
3361327 | Ariabl'eyeS Collection [Kegarenaki Barajuuji 1.1x],8.0080
2511365 | LTD Pack [Hatsuki Yura - Onyx Veil],8.0001
3877203 | NEURO-CLOUD-9 [099],7.9967
1347531 | Precious You* (TV Size) [Top-drawer / x1.3],7.9908
2701198 | Time to Say Goodbye [Farewell 1.15x (287bpm)],7.9871
3341785 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.)],7.9816
3674470 | GOTTASADAE [GOTTASADAE x1.25],7.9805
4584948 | Dat Phonk [GET DOWN],7.9761
2889383 | Karma [Gloom x1.4],7.9760
4874228 | Angels Crying [here we go again 1.3x],7.9756
787944 | The Empress [MASSACRE 1.05x],7.9737
2433643 | Nest [Egg 1.2],7.9663
2875456 | Angel's Salad ('Le mythe etendu' ver.) [indifference 1.2],7.9546
4312004 | Parallel Universe Shifter [Quantum Field Disruption],7.9518
3260897 | The Truth Never Spoken [Empty Pages 1.15x],7.9488
3640441 | Cry [Destruction],7.9483
4399288 | Shoujo A [Quick and hateful cold [1.35x Rate]],7.9473
2480045 | Who's That Boy [hear me blingo on my guitarra 30% faster],7.9454
"3180933 | Excuse My Rudeness, But Could You Please RIP?<3 (t+pazolite Remix) [LN's Reaper 1.2x (312bpm)]",7.9440
3454815 | Pacific Girls [IcyWorld 1.4x],7.9420
3498613 | Las Avispas [Picadura [170]],7.9307
2465616 | NUCLEAR-STAR [Polaris (feat. _underjoy)],7.9220
4388484 | hurricanic -short size- [Challenge],7.9185
3065261 | Break [Smash 1.15x],7.9171
2877294 | STRONG 280 [POWERFUL 280],7.9097
2524291 | Fly Me To The Moon (Infinite Climax Mix) (Cut Ver.) [1.3],7.9051
3889549 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.3x (260bpm)],7.9030
2827578 | ch3rry [Sar4CORE! [1.35x Rate]],7.8984
3718968 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.35x Rate]],7.8796
2191000 | Three Bastards [Cannibalistic Warlords],7.8765
3261964 | arpia97's Vibro Anthology [Soundscape],7.8757
480467 | Rave 7 [Insane],7.8737
2414493 | Edison [Challenge 1.3],7.8734
1753423 | Quadraphinix [Challenge 1.5x],7.8726
2295004 | Daichi ni Saku Senritsu [Impossible 1.2x],7.8673
3793375 | steganography [Cipher Encryption],7.8654
3353155 | volcanic [Challenge],7.8645
888777 | Palette GAMMA [Myriad (Original)],7.8543
3261955 | arpia97's Vibro Anthology [KAEDE (Hydria)],7.8397
4377882 | The Azure Arbitrator [Play Trails],7.8373
1630540 | GHOST [x1.3],7.8371
3514859 | Me Tengo Que Ir [1.25],7.8287
3123871 | FUTURE DOMINATORS [NB5 Hard 54235 1.3x],7.8270
3755587 | Odoru Mizushibuki [Macabre 1.3x (179bpm)],7.8206
1196413 | Palette GAMMA [Myriad],7.8205
3875944 | A [ex 1.3],7.8116
3341776 | The Blue Sanctuary [The Cradle of the Sky],7.8113
3090618 | unravel [escapist 1.15x (155bpm)],7.8086
4009275 | Hylotl's LN Collection [Laur - Exitium],7.7933
3957738 | Can You Feel My Heart (Cut Ver.) [Anguish 1.1x (141bpm)],7.7927
3261942 | arpia97's Vibro Anthology [Believe x Believe],7.7850
3440816 | Haunted (dive to the heart remix) [Fangs],7.7658
2650374 | H.A.R.D.C.O.R.E. [Hell [1.15x Rate]],7.7650
3986998 | Hustler (feat. Highdiwaan) [1.05x],7.7618
4108895 | G e n g a o z o -Noize of Nocent- [Innocence 0.9x],7.7604
2357900 | Triumphal Return [dou-jack 1.15],7.7596
918840 | 10Dollar Dump Dump Revolutions 2 part.3 [sweet ARMS - Installation [10Dollar Presents] 36],7.7519
3328350 | Sendan Life (katagiri Bootleg) [Chord Life [155]],7.7511
3261947 | arpia97's Vibro Anthology [CLOSER],7.7451
2548264 | Cyberia lyr3 [Razor Blades [1.4x Rate]],7.7443
2103854 | Vocaloid Chordjack Pack Vol.1 [Electric Angel ([Crz]Rachel)],7.7383
3820256 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.2x],7.7372
4496828 | Deep Down (Sped Up Ver.) [You & I],7.7226
2435721 | Gympie Gympe [GYMP 1.4],7.7218
3402547 | KAERU [Frog Regrets 1.2x (275bpm)],7.7210
3260217 | Ariabl'eyeS Collection [Shuuen no Kane],7.7130
"3670219 | HAVOX (Camellia's ""XATAXLYSM"" Remix) [Cataclysmic Havoc]",7.7101
3261959 | arpia97's Vibro Anthology [MIND CONDUCTOR],7.7063
3782699 | Reap What You Sow [1.15],7.7045
3926312 | Adcar [Challenge x1.3],7.7002
2573488 | Yoru ni Kakeru [a lonely night... x1.4],7.6963
3084905 | Matusa Bomber [1.1],7.6963
4905022 | Bring Our Ignition Back (Cut Ver.) [Ignition180],7.6951
1540660 | arpia97's Vibro Anthology [LegenD.],7.6931
2627287 | Forgotten [Extra (350bpm)],7.6911
4288498 | Frontier Explorer [Black Another [1.3x]],7.6908
3106431 | WE LUV LAMA [NB4 Challenge 29 1.3x],7.6901
4399289 | Shoujo A [Quick and hateful cold [1.3x Rate]],7.6879
2557821 | More One Night (Assertive Hardcore Bootleg) [long ver.] [\o\ DAB /o/ x1.3],7.6863
3260898 | The Truth Never Spoken [Empty Pages 1.1x],7.6861
3261944 | arpia97's Vibro Anthology [Choumusubi Amulet],7.6757
3361332 | Ariabl'eyeS Collection [Sougetsu Oratorio 1.1x],7.6679
4004787 | goTe EX [Metacognition],7.6666
3442422 | PAM!!! feat. Onjuicy [FOXSKY Version] [^^ 1.1x],7.6662
2701199 | Time to Say Goodbye [Farewell 1.1x (275bpm)],7.6654
3889546 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.25x (250bpm)],7.6649
3821814 | Skrillexore [Call 911!! 1.4x],7.6633
1961657 | You Say Run [Gift [1.05x Rate]],7.6613
1545535 | arpia97's Vibro Anthology [Ugoku Ugoku],7.6570
4317895 | KAMISORI [ERADICATE 1.2x],7.6544
2204534 | little (girl) goodbye.rah [parting [1.4x Rate]],7.6537
4874226 | Angels Crying [here we go again 1.25x],7.6452
4311936 | Angel Echo -L'appel du vide- [le mot de l'esprit],7.6369
3379606 | Yatsume Ana [<!> [x1.2]],7.6327
3454813 | Pacific Girls [IcyWorld 1.35x],7.6308
2793588 | far in the blue sky... [42 [0.95]],7.6301
2771698 | Angel's Salad ('Le mythe etendu' ver.) [indifference 1.15],7.6245
4303117 | Kamiari Algorithm (katagiri Bootleg) [kami x1.20],7.6240
2794753 | Embraced by the Flame [Ifrit (280bpm)],7.6230
3262554 | Crescent Moon Island [Kuro],7.6198
4213142 | think abt it w/ ppgcasper [_o_ [1.4x Rate]],7.6185
2397359 | Wallspin [1.2],7.6134
3227232 | Mood Breaker [Jack Breaker 1.4x],7.6126
3341782 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.) x0.95],7.6099
2162156 | We Could Get More Machinegun Psystyle! (And More Genre Switches) [Aural Annihilation],7.6082
3645839 | The Empress [MASSACRE],7.6080
1441122 | Highscore [Achievement! [x1.4]],7.6016
3674469 | GOTTASADAE [GOTTASADAE x1.2],7.6001
"4766471 | 1,000,000 TIMES [Unmei x1.4]",7.5971
1896833 | DaemonophobiA [Kowagaru],7.5948
2183959 | that schoolgirl [the worst [1.4x Rate]],7.5939
4706643 | EVERYTHING BLACK feat. RATIRL [Lieless FRENCHCORE BOOTLEG] (Sped Up & Cut Ver.) [EDGY DIFFNAME],7.5905
2827579 | ch3rry [Sar4CORE! [1.3x Rate]],7.5879
3718969 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.3x Rate]],7.5811
"4009266 | Hylotl's LN Collection [Camellia as ""fluX Xroise"" - Xronier (""geneXe"" Long ver.)]",7.5761
3065262 | Break [Smash 1.1x],7.5721
4476908 | Bluenation [1.45x],7.5677
1482758 | Nhelv [Silent],7.5664
3111688 | M-A [IcyWorld's Expert Lv.15 1.4x],7.5641
3315957 | Kitsune no Yomeiri [Fox [150]],7.5581
3696104 | KLASSIKER EINHEIT [Challenge 1.4x],7.5550
3976253 | Fallen Symphony [Incomprehensible Musicality],7.5478
1282857 | Her Majesty [Another 1.4x],7.5455
1251238 | Trouble Kuroneko Man'yuuki [Ayumu's Distress 1.3x],7.5430
2197981 | Over the Fullereneshift [Second Impact 1.4x],7.5367
2592118 | Violent Arcade [Sudden Death x1.2],7.5317
3261948 | arpia97's Vibro Anthology [DAYS of DASH],7.5314
4021543 | 414 PER SPEED (Game Ver.) [Divine Testament],7.5301
2511368 | LTD Pack [Skan - Sadaweya (feat. Highdiwaan)],7.5249
1819998 | Naruto RMX [Tsukuyomi 1.1x],7.5236
"4809367 | comet casting capsule (""catching celestial clusters"" Long Version) [crystal chamber combustion]",7.5205
4584947 | Dat Phonk [GET DOWN [0.95]],7.5202
1641718 | Ragnarok [- WORLD END -],7.5169
4059782 | Chimera [Antinomy],7.5140
3032790 | LTD Pack [Camellia - BRACE FOR FRICKING IMPACT],7.5112
3514858 | Me Tengo Que Ir [1.2],7.5107
"4793983 | Mare Nectaris (Camellia's ""Ingenii"" Remix) [4K Celestial Reckoning]",7.5091
3261966 | arpia97's Vibro Anthology [Yasashisa no Riyuu],7.5079
2414494 | Edison [Challenge 1.25],7.5072
4303123 | Catch the Glory [Grand Finale],7.4991
3957479 | Can You Feel My Heart (Cut Ver.) [Anguish 1.05x (134bpm)],7.4966
1007800 | MEME LEGENDS - KAC 2016 -HISTORIA QUIT BLUVOLTEX- [jestem slodki lubie kotki],7.4959
"4731897 | comet casting capsule (""catching celestial clusters"" Long Version) [stellar blazing forge]",7.4959
716700 | slavik goblins [Extreme],7.4824
4713750 | TERRAFORGE [EVOLUTION],7.4797
2333884 | White Hair Little Swords Girl [Youmu's Dream 0.9x],7.4771
1251235 | Trouble Kuroneko Man'yuuki [Ayumu's Trouble 1.3x],7.4749
3498612 | Las Avispas [Picadura [160]],7.4731
2877369 | STRONG 280 [POWERFUL 280 x0.95],7.4724
4210848 | Unmeiron [Ephesians],7.4714
3889547 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.2x (240bpm)],7.4663
4311938 | LIGHT LEFT BEHIND [AND IN THE DARKNESS BIND THEM],7.4661
3454807 | Pacific Girls [Fullerene- 1.4x],7.4605
3090619 | unravel [escapist 1.1x (149bpm)],7.4587
563155 | Yolomania Vol. 3A [Anthony Donato - The 8th Era (Short Cut) [rCaliberGX] 22],7.4558
1044355 | Blue Zenith [Act VI. Challenge],7.4530
2650375 | H.A.R.D.C.O.R.E. [Hell [1.1x Rate]],7.4524
4009279 | Hylotl's LN Collection [Silentroom - Shuu no Hazama],7.4518
3473680 | Do It To It (feat. Cherish) [1.2x],7.4404
2476308 | Hysteric Night Girl feat. Such (android52 Edit) [whiskey [1.4x Rate]],7.4396
4255232 | To the Hellfire [Put me to rest],7.4384
4483379 | Roars of V.E.N.G.E.A.N.C.E -Take Back Everything- [Warrior],7.4382
2125569 | Architecture [Death],7.4338
3587304 | Starflight [Supernova],7.4308
4164248 | ISCHEZAYU (Lieless FRENCHCORE BOOTLEG) [x1.4],7.4283
2690149 | Lemon Tree (Lemon Dance) [Challenge],7.4226
3575842 | Deadly force - Put an end [Immeasurable Momentum],7.4165
4388242 | Mood Breaker [LN Breaker 1.2x],7.4161
2767506 | Staple On Smile [Extreme 1.2x],7.4153
2357901 | Triumphal Return [dou-jack 1.1],7.4143
1938169 | Cyber Inductance (Speed Up Ver.) [NB4 1.4x],7.4142
1864667 | beepbit * futures [cosmonaut],7.4128
2889382 | Karma [Gloom x1.3],7.4110
"2926742 | Lowermost revolt (""Jeremiad"" Long ver.) [4K // Virtue-'s -RE : E[V]OLUTiON-]",7.4079
3988022 | BEYOND [LN Aurora Australis],7.4032
4303116 | Kamiari Algorithm (katagiri Bootleg) [kami x1.15],7.4024
2442481 | Sendan Life (katagiri Bootleg) [Chord Life [150]],7.3892
1007801 | MEME LEGENDS - SUCC 2016 -HISTORIA QUIT BLUVOLTEX- [GRASHITY],7.3883
4101334 | astrid [reminisce],7.3875
4315263 | SUIKINKUTSU (feat. Uehara Hiromi) [1.4x],7.3870
777348 | PEACE BREAKER [FINAL PUNISHMENT],7.3858
1347530 | Precious You* (TV Size) [Top-drawer / x1.2],7.3846
4853621 | CosmographY [Astronomical],7.3825
3672144 | GHOUL [Spiritual Disaster 1.4x],7.3805
4009278 | Hylotl's LN Collection [SHK - Identity Part 5],7.3797
3782698 | Reap What You Sow [1.1],7.3780
3322182 | BLUE ARMY (Raytoly's Progressive Hardcore Sped Up Edit) [UNFORGIVING ASSAULT],7.3756
3211370 | The Truth Never Spoken [Empty Pages 1.05x],7.3755
3820253 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.15x],7.3738
4399286 | Shoujo A [Quick and hateful cold [1.25x Rate]],7.3703
2889647 | Flamenco House [Funky x1.4],7.3655
4786702 | Rush (Cut Ver.) [Titanium],7.3627
459755 | The Scales of Struggle [Collab Extreme],7.3623
2524290 | Fly Me To The Moon (Infinite Climax Mix) (Cut Ver.) [1.2],7.3617
4283840 | Onus Regulus [Judgmental Obliteration | 4K Extra],7.3617
"2982246 | saihate [Coma [1,15x Rate]]",7.3585
4311928 | Cortex Charger [Electrocution],7.3584
2818882 | Hustler (feat. Highdiwaan) [Ghost],7.3581
777706 | Yura-Yura Sweet Genocide [feat. t+pazolite] [YuRa-yUrA!!!],7.3578
3138043 | super anime groove 3d world [Jacky Groove // 1.4x],7.3546
2433642 | Nest [Egg 1.1],7.3536
2511369 | LTD Pack [Skan - Warrior (feat. Highdiwaan)],7.3529
4458107 | Bizzare Nation [Abomination // Extra],7.3507
3729617 | Makiba [Extra 1.1x (185bpm)],7.3466
3454814 | Pacific Girls [IcyWorld 1.3x],7.3465
2701197 | Time to Say Goodbye [Farewell 1.05x (263bpm)],7.3449
3084904 | Matusa Bomber [1.05],7.3442
4060907 | Kuroki Sakura wa Ai: Sono Shi o Kou [Blossoms of Melancholia],7.3348
4766898 | daddy can change [men],7.3338
3777278 | RE:WIND [Precious x1.3],7.3335
2875490 | NANOHANA [X],7.3333
3460359 | Bookmaker [EX],7.3315
750518 | Architecture [Mat's 4k DEATH],7.3271
2731181 | Back! to the Future (Cut Ver.) [Jack! to the  Future 1.4x (168bpm)],7.3254
1753422 | Quadraphinix [Challenge 1.4x],7.3222
2408832 | Zombie Sunset [Apocalypse [1.4x Rate]],7.3137
1778183 | Starfall [Planetary Annihilation 1.1x],7.3110
2827576 | ch3rry [Sar4CORE! [1.25x Rate]],7.3110
2512646 | Here I Go Again [where u going though 1.4x],7.3101
4317707 | Desperado Waltz [Skogarmaor 1.4x (241bpm)],7.3088
4476891 | Bluenation [1.4x],7.3080
1563106 | The Clockwork Rose -Tokei Shikake no Bara Shoujo- [LN Master 1.2x],7.3074
2480044 | Who's That Boy [hear me blingo on my guitarra 20% faster],7.3044
3361328 | Ariabl'eyeS Collection [Kegarenaki Barajuuji],7.2946
3588518 | traveling [flowing 1.1x (129bpm)],7.2896
2790755 | Zen'on [Distress 1.4x (251bpm)],7.2850
2771697 | Angel's Salad ('Le mythe etendu' ver.) [indifference 1.1],7.2804
3718966 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.25x Rate]],7.2798
4874227 | Angels Crying [here we go again 1.2x],7.2755
3889544 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.15x (230bpm)],7.2635
3674468 | GOTTASADAE [GOTTASADAE x1.15],7.2625
"3180932 | Excuse My Rudeness, But Could You Please RIP?<3 (t+pazolite Remix) [LN's Reaper 1.1x (286bpm)]",7.2603
3987692 | t/a/n/a/s/i/n/n [d/o/r/a/e/m/o/n],7.2553
3106437 | WE LUV LAMA [NB4 Hard 16 1.4x],7.2543
4775999 | Echoes of Memoria [Solace of Oblivion],7.2482
3261954 | arpia97's Vibro Anthology [Indomitable Spirit (Hommarju Remix)],7.2448
4640474 | ukigumo [4K MX 1.4x (249bpm)],7.2430
3816040 | Bookmaker [Extra 0.9x],7.2376
3875943 | A [ex 1.2],7.2369
2592117 | Violent Arcade [Sudden Death x1.15],7.2360
1653309 | Corrosion [Virtuoso],7.2358
2511370 | LTD Pack [uma - KEEP IT UP],7.2342
4485050 | Deep Down (Sped Up Ver.) [You & I (0.95x)],7.2341
3065260 | Break [Smash 1.05x],7.2323
3341781 | The Blue Sanctuary [The Cradle of the Sky (Cut Ver.) x0.9],7.2312
4108896 | G e n g a o z o -Noize of Nocent- [Innocence 0.85x],7.2282
3362200 | Shinbatsu o Tadori Kyoukotsu ni Itaru [Till November Night (reprise)],7.2277
3644358 | 9mm [Challenge x1.3],7.2270
3123870 | FUTURE DOMINATORS [NB5 Hard 54235 1.2x],7.2233
3015442 | Syzygia [Gravitational Lens],7.2230
1630539 | GHOST [x1.2],7.2119
1026050 | TAKECORE OF YOURSELF [1.4x],7.2077
3909141 | You Say Run [Gift],7.2048
3348224 | FAKE PROMISE [Eternity 1.4x (267bpm)],7.1987
