Beatmap,SR,Objects,Variety,Spikiness,Switch
4005910 | THE EARTH [Extra],6.6310,2022,3.2878,1.0376,0.9872
1111137 | <3 [but love is madness],6.6298,1366,3.1183,0.8968,0.9491
3275673 | 8th:Planet ~Re:search~ [Another],6.6287,2143,2.8926,0.9565,0.9936
819892 | Quietus Ray [Heaven],6.6276,1883,3.3771,1.1633,0.9921
4251367 | pupa (TV Size) [Expert],6.6247,553,3.5951,1.0414,1.0650
4069903 | CO5M1C R4ILR0AD [NoName's 3XP3RT],6.6208,2745,3.1162,1.0037,0.9814
4539652 | Samsa [Makkura],6.6177,3181,3.4959,1.0444,0.9515
992384 | Routine [Hard],6.6163,2715,3.0793,1.0294,0.9374
2198202 | Flexo123's KPOP Pack [D.holic - color me rad],6.6073,3238,3.3789,1.1193,0.9535
3895250 | FULLFLAVOR ONDO [Juicy Lunatic],6.6041,4357,3.4895,1.0856,0.9554
1391968 | Remilia ~Kyuuketsuki no Tame no Kyousoukyoku [Rebanada's Black Another],6.6009,2001,3.9172,1.1050,0.9778
4489966 | Clover [Leggendaria],6.5999,3751,3.2833,1.0912,1.0124
329213 | sister's noise (TV Size) [Lv.42],6.5993,1429,3.4021,1.0986,1.0217
2027283 | Melty Sweets [CS' MAXIMUM],6.5977,2018,3.4387,1.0337,0.9832
2146054 | Protoflicker [Mystic [1.3x Rate]],6.5963,2602,2.7230,1.0125,0.9644
"2259998 | Mother Ship (Camellia's ""KABOOOOOOOM!!"" Remix) [Class-ic EX // Cocoa's 7K]",6.5961,7763,3.0650,1.0531,0.9619
3506334 | Magical Girl*Conflict [Chu],6.5900,1499,3.2429,1.0905,0.9370
3613254 | People People feat. Nanahira [7K Extra],6.5898,3739,3.3371,1.0354,1.0178
2981081 | Nakano Yuko Map Collection [Yosk - * Wind Sambaland *],6.5889,2742,3.0732,1.0949,0.9486
3180484 | Kikoku Doukoku Jigokuraku [Lunatic Fever],6.5879,5727,3.3931,1.0397,1.0072
3402422 | MOON [Slave of Sadness],6.5854,1953,3.3773,0.9898,1.0550
3148168 | Tadoru Kimi o Koete [Wayfarer],6.5813,2409,3.1866,1.0283,0.9753
830448 | Ice Angel [Euphoria],6.5813,5939,3.1087,1.0589,0.9534
412186 | Fiat Lux [INFINITE],6.5811,1815,3.5703,1.0787,1.0355
4231307 | Glucagon [7K Challenge],6.5786,3878,3.0222,1.1244,0.9315
3582910 | 3rd Eye In Breast [Skalim's 7K Rage!!],6.5785,2906,3.2278,1.0724,0.9983
3522499 | PRAGMATISM -RESURRECTION- [Present],6.5760,2906,3.2654,1.0181,1.0829
4496074 | Conversation Logic [Magical Logic // Expert],6.5749,4553,3.0484,1.0717,0.8672
2555999 | Hype feat. Such [Touch Pop],6.5740,4039,3.5442,1.1164,0.9372
4249325 | pupa (TV Size) [Another],6.5737,476,3.4653,1.1100,0.9937
1274136 | Lemuria [CS' Extra],6.5731,2169,3.4919,1.0920,0.9839
4037379 | Moonlight [Expert],6.5708,1007,3.1781,1.0230,0.9921
4473223 | Kami no Kotoba [withered existence],6.5690,3199,3.7532,1.0826,1.0157
4065223 | Eviternity [Extra],6.5679,2427,3.5584,1.0295,1.0200
974658 | AMAZING BREAK [Eradication],6.5644,3789,3.3345,1.0783,0.9763
433072 | Just Hold on [Rage!!],6.5642,3450,3.6128,1.1058,1.0017
1023966 | Doppelganger [Lude's Another],6.5590,2391,3.5170,1.0767,0.9667
846925 | squartatrice [Miki Sayaka vs. Oktavia Von Seckendorff],6.5570,4622,3.2769,1.0920,0.9360
1875932 | Rockhill [Celtic Glee],6.5527,1389,3.6790,0.9862,1.0551
646994 | Valhalla [Asgard],6.5520,2184,3.6836,1.1366,0.9696
2349686 | Levier'n NabYss [MAXIMUM],6.5511,2329,3.2284,1.0645,0.9895
4276364 | Take a Hint feat. Victoria Justice & Elizabeth Gillies (Sped Up & Cut Ver.) [Another],6.5511,869,3.2574,0.9623,1.0062
4663986 | Vomit [Extra],6.5496,2600,3.6178,1.0391,1.0367
872039 | CirnoRHTL [Extra],6.5487,3293,3.1429,1.0781,0.9742
386836 | Towa no Kizuna feat. Another Infinity [7k - normal lvl 53(LCH)],6.5476,3271,3.2950,1.0236,1.0186
428317 | Starry Presto [Insane],6.5475,2128,3.6095,1.2252,0.9563
1481884 | 7K Endurance and Technical Training Pack [It Went],6.5453,3754,3.0945,1.0433,0.9977
2432062 | without Permission [Chartreuse Green [Chartreuse]],6.5422,2682,2.9921,1.0832,0.9479
3520908 | Distant Relatives [Bound by Blood: Many Times Removed // 7K],6.5399,5072,3.6356,1.1717,0.9239
3848743 | Last Wish [Realization],6.5358,5144,3.7186,1.1199,0.9919
1421481 | Shanghai Kouchakan (Orchid Remix 2017 Update ver.) [Orchid],6.5354,2493,3.6322,1.0951,0.9607
582775 | ZZ [Black Another],6.5328,1983,2.9867,1.0905,0.9482
963008 | Avril 14th (webodan's 8-bit GXSCC cover) [Challenge],6.5313,487,4.2273,0.9054,1.1213
1355812 | Piano Beatmap Set [Rachmaninov Concerto No.3 - 7K EX],6.5299,2532,2.9486,1.1183,0.8879
2195339 | The Tower (Dear.[NieR Automata] Feryquitous Remix) [Ascension],6.5274,7237,2.7823,1.0160,0.9505
3727758 | Unwelcome School [Suspended],6.5273,2502,2.7630,1.1334,0.8666
3697000 | S.A.T.E.L.L.I.T.E. [Extra],6.5215,4498,3.4029,1.0507,0.9209
654831 | ApolloN [7K Extreme],6.5203,2039,3.1090,1.0512,0.9752
4807367 | MI:LIGHT CONNECT [Expert],6.5171,2487,3.4508,1.0215,1.0148
1191987 | Ningen Shikkaku [Zenx's 7K Miscreation],6.5169,6119,2.9557,1.0578,0.9337
4053350 | Cat Loving (kageminori bootleg) [7K // Nya :3],6.5125,1905,2.7203,1.0418,0.9227
874165 | Palette GAMMA [original speed (sp3)],6.5120,2357,2.9701,1.0135,1.0160
2482881 | Flamenco House [Extra],6.5092,2908,3.3039,1.0227,1.0115
1603228 | Sudden Romance [Koi (short)],6.5087,2649,2.7358,1.0861,0.9323
"800938 | Natsu no Owari, Koi no Hajimari [ZenoCORE!]",6.5069,3448,3.4699,1.2401,0.9237
434145 | Nemesis (pi/3's Remix) [Ishi's MX],6.5054,3500,3.6593,1.2288,0.9510
1789486 | Amenohoakari [BMS LV.09 wawather [Chord Stream & Jack -Another-]],6.5049,3094,2.8871,1.0333,0.9337
4011881 | Hikari Sasu Mio no Yuzuriha [HEAVENLY],6.5035,1920,3.3690,1.0458,0.9614
4078389 | MEI VS KILLER FISH - THE ULTIMATE BATTLE!!! [BEDLAM],6.5014,5323,3.2578,1.0769,1.0007
2883472 | xNett's Kpop 7k LN pack [LOONA / OEC - LOONATIC],6.5012,2653,3.6521,1.0271,1.0292
322132 | Zirkfied [Ex7ra],6.5003,2000,3.4176,1.1839,0.9462
369470 | Sky of Twilight [Marathon],6.4974,4747,3.7379,1.1426,0.9803
421369 | FREEDOM DiVE [Blocko's 7K Another],6.4965,4331,3.3723,1.1989,1.0219
2440933 | Fallen [Blocko's Flight],6.4959,2530,3.0109,1.0648,0.9557
1122312 | Panic! Pop'n! Picnic! [Kawawa's Ex7ra!],6.4942,2463,3.2655,1.0851,0.9399
3990211 | Myosotis (Remixed By Yamato Kasai From Mili) [Another],6.4906,887,4.3234,1.0426,1.0285
975161 | o'er the flood [jinjin's extra],6.4901,4261,3.2718,1.1153,0.9354
4259014 | lost memory [promises of that forgotten day],6.4888,4729,3.6047,1.0419,0.9642
399215 | DON'T CUT [7K Extra],6.4782,2024,3.3711,1.0655,1.0202
3116871 | comet (Cut Ver.) [comet],6.4765,1360,3.5293,1.0837,0.9585
3283685 | Ki ga Kurutta Noise [Crazy Piano],6.4689,2089,3.5306,1.0647,0.9938
1253007 | Grand Chariot [7K // Glorious Queen],6.4662,1943,3.4204,1.1060,0.9735
4608045 | zeeros [_Yiiiii's Melody],6.4637,2009,3.3465,1.0571,0.9659
545590 | Valedict [Black Another],6.4630,1768,3.3666,1.1426,0.9241
1265382 | Credens justitiam [Lv.46],6.4576,3288,3.2005,1.0417,1.0373
"2216647 | Tiny Little Adiantum (deadman's ""Omae Wa Mou"" remix) [Shindeiru]",6.4505,3118,2.3986,1.0179,0.8161
2795852 | LOA2 [Blocko's EXPERT],6.4492,2032,3.3121,1.0879,0.9882
879060 | Chik Habit [they'll be spitting in your eye],6.4491,2649,3.7381,1.1141,1.0439
4833048 | Myosotis no Hanataba [Extra],6.4443,3403,3.3633,1.0867,0.9637
3551072 | Ryuuseigun ni Aeta Natsu [Sparkling Summer Night],6.4426,4025,3.4223,1.0922,0.9493
2687659 | Gunkyouzouteki Soseiriron [Imi[7]ation // 7K],6.4418,4916,3.3342,1.0229,0.9848
3537473 | 7K Terminal 11 Technical Pack [We're Just Taking It Back],6.4401,2536,3.6258,1.0594,1.0026
553820 | Achromat [7K Black Another],6.4391,3064,3.2596,1.0711,0.9400
4520606 | Campanella [NoName's 7K Expert],6.4370,2531,3.0511,1.0327,1.0770
584133 | starlog [Luminescence],6.4319,3558,3.6735,1.1252,0.9734
4585457 | DiSANiMATE [Another],6.4297,6000,3.4016,1.0203,1.0073
3460889 | Newspapers for Magicians [Another],6.4235,4458,3.6335,1.0855,1.0325
4176076 | Redeemer [l43yrnt's 7K Hope],6.4230,2932,3.7544,1.1030,1.0669
2590010 | Spatto! Spy & Spyce (TV Size) [Extra],6.4135,1557,3.2699,1.0586,0.9508
365327 | Disconnected [lZenxl's 7K SHD],6.4116,2074,3.2818,1.2018,0.9087
1828806 | Destr0yer [Annihilation Nova],6.4109,2456,3.4834,1.1426,0.9587
975248 | Runway Drive [Drive],6.4108,3865,3.5246,1.1473,0.9734
2970979 | Masshiro na Yuki [Lunatic Love],6.4107,5451,3.4228,1.1761,0.9806
3518465 | Deadly force - Put an end [Apocalyptic Entity],6.4025,5244,3.5578,1.0464,1.0673
3796165 | Materialize Anything [Extra],6.4013,2545,2.7691,1.0604,0.8660
380142 | Sakura Reflection (P*Light Slayer Remix) [Rumi's 7K OVERDRIVE Lv.35],6.3997,1548,3.7943,1.1454,0.9646
1329345 | Piano Beatmap Set [Hungarian Rhapsody - 7K Full],6.3959,4669,3.1793,1.0685,0.9557
2480552 | 7K Utattemita Pack 2 [teikoku shoujo (sawako)],6.3956,3600,3.2465,1.0368,1.0128
"2873129 | Lost Memory [Memories [1,2x Rate]]",6.3878,2024,2.8629,1.1038,0.8644
333857 | Bad Apple!! (REDALiCE Remix) [Lv.34 7K],6.3855,3458,3.3995,1.1404,0.9690
1906189 | Shang A Lang (kamome sano Remix) [Vivacity // 7K],6.3852,5458,3.5103,1.1134,0.9841
1179731 | Blue Zenith [Bubbler's Extra],6.3841,3853,3.3151,1.0759,1.0339
"665511 | No pain, No game [7K Torment]",6.3822,2891,3.4958,1.1229,0.9592
2790249 | Dancing In The Blue [To You],6.3811,4288,2.9185,0.9912,0.9843
1492565 | Lovely Icecream Princess Sweetie [lovely!!],6.3786,4285,2.8506,1.0511,0.9670
1481883 | 7K Endurance and Technical Training Pack [Inai Sekai],6.3762,3168,3.0632,1.0244,0.9421
2848186 | Unterhimmel [Cosmic Trance],6.3734,6364,3.8312,1.1287,0.8946
1388705 | Future Cider [Another],6.3733,3357,3.4594,1.0876,1.0026
3691994 | Triumphal Return [Another],6.3730,2689,3.2520,1.0016,1.0437
417910 | Tokohana (TV Size) [17VA's Mania Insane],6.3695,1032,3.6229,1.1207,0.9593
2627482 | Lantinid [Extra],6.3685,1590,3.3646,1.0865,0.9597
3192597 | carnation [7K Lv.35],6.3674,1754,3.7558,1.1957,0.9046
1481889 | 7K Endurance and Technical Training Pack [sister's noise (TV Size)],6.3634,1632,3.0013,0.9551,1.0460
4750282 | Samsa [9eater's Expert],6.3617,3088,3.4561,0.9967,1.0127
196931 | Oni Kanojo [Extra],6.3606,3337,3.7283,1.1539,1.0284
2981083 | Nakano Yuko Map Collection [NICODE - Deerstalker],6.3589,2940,3.1091,1.0526,0.9497
835429 | The Glory Days [SC],6.3573,2995,3.7108,1.1078,0.9796
3595258 | Crazy Shuffle [Final Stage],6.3526,2062,3.3829,1.1655,0.9591
1374073 | TT [Lv.43],6.3505,2821,3.5961,1.1102,1.0112
2883473 | xNett's Kpop 7k LN pack [LOONA - Why Not?],6.3483,2780,3.6210,1.0476,0.9553
3559020 | Random [Concentrate],6.3419,2065,3.6723,1.1231,1.0054
681992 | Touch the angel [K-ON!!],6.3415,3620,3.3862,1.0951,0.9719
1872112 | LN Dan Phase II [5th Dan],6.3387,5431,4.0414,1.0125,1.0319
1540502 | Kimi to Dareka no Yasashisa ni [Lunatic],6.3368,3796,2.9740,1.0335,0.9735
3977435 | Quark no Umi o Oyoide [Creation],6.3365,2271,3.2780,1.0063,1.0913
793969 | quaver [Black Another],6.3354,1946,3.2983,1.0612,0.9665
2486275 | Realize (TV Size) [Redo],6.3343,1282,3.4146,1.0766,0.9544
2205806 | Merry Snowy Fantasy feat. Hanon [qodtjr's Happy Christmas],6.3260,3132,3.0601,1.0755,0.8991
2466984 | eight (Prod. & Feat. SUGA of BTS) [Forever Young],6.3231,2450,3.1206,1.0946,0.9377
338759 | Koi Yomi Zakura [7K Lv.36],6.3222,1893,3.3016,1.1261,0.9250
1012861 | T.T.L (Time To Love) [Lv.42],6.3198,1639,3.3906,1.0285,1.0225
3825440 | UNLOCK [Last Moment],6.3107,3616,3.3403,1.0725,0.9326
2212095 | LOSHAXI [BLACK ANOTHER],6.3004,1774,3.4889,1.1146,0.9929
4528527 | Glooorious!! [Extra!!],6.2991,2736,3.6443,1.0401,1.0350
748095 | HAELEQUINZ -the clown of 24stairs- [Ene's Another],6.2971,3531,3.5791,1.0951,1.0300
4214617 | Dancing Dollz feat. cold kiss - REDALiCE Remix [Extra],6.2950,3488,3.5765,1.0978,1.0151
698616 | PUPA [7K Another],6.2886,1859,3.4531,1.2479,0.9549
583881 | Tsuki ni Murakumo Hana ni Kaze [Rumi's Insane],6.2857,2642,3.4555,1.1510,1.0049
591311 | Schur's Theorem [Black Another],6.2832,1977,3.2454,1.1445,1.0241
3869814 | A Joyful Snowfall [An Invigorating Flurry],6.2825,1471,4.0337,1.0177,1.0605
672716 | Sakurayozora [Extra],6.2802,1996,3.3603,1.1012,0.9660
2104346 | Game Over (feat. TORIENA) [[EX] Insert [1] Coin(s) to Continue . . .],6.2791,3888,3.2631,1.0879,0.9295
865899 | Double Helix [Nucleic],6.2787,6159,3.2099,1.1030,0.9749
4499579 | Yue Guang [Qin's Moon],6.2761,2720,3.7588,0.9870,1.0139
3920602 | Xecus [Black Another],6.2757,2218,3.0771,1.0508,0.9670
3312408 | Hiyokko Santa to Yuki no Machi [Reindeer Akasha's Another],6.2752,2355,3.6117,1.0552,1.0269
549881 | Out Of The Blue [Pew's 7K Extra],6.2714,1941,3.6153,1.1466,0.9537
2763842 | 4172756869 (isagen remix) (Cut Ver.) [mint's 7k efhfi],6.2713,2082,3.3722,0.9999,1.0621
3470119 | M2U Pack [HAPPY HALLOWEDDING 7K],6.2684,2053,3.0634,1.0947,0.9154
1142360 | Flower Flag [Lunatic],6.2673,3466,3.5569,1.0549,0.9838
3797892 | Prayer [Wonki's Extra],6.2662,2122,3.3250,1.0622,1.0008
4359809 | Ordine Lanetta to Hai no Otoko [Witch's Potion],6.2659,3128,3.9039,0.9642,1.0523
3173651 | Nibelungen [Extra],6.2634,2634,3.4686,1.1061,1.0049
4226188 | Infinity Heaven [Authentic Utopia],6.2626,2351,3.1766,1.0767,0.9510
969683 | Inixia [GRAVITY],6.2613,2018,3.4965,1.1162,1.0215
3563175 | GuNGNiR [Leggendaria],6.2612,2184,3.4715,1.0936,1.0428
981294 | Music Revolver [Revolver],6.2550,1764,3.4298,1.0576,1.0181
4814949 | Fuyu ga Kureta Kiseki (feat. nayuta) [Miracle],6.2477,5040,3.1121,1.0567,0.9254
3855003 | BEYOND [Another],6.2470,2473,3.0887,1.0456,0.9551
3470145 | M2U Pack [Wicked Fate 7K],6.2425,1531,3.4779,0.9955,1.0386
2769817 | Mach space journey [Liftoff],6.2424,1778,3.2309,1.0585,1.0164
4554401 | Ataraxia [7K Expert],6.2422,1961,3.5019,1.0214,1.0385
3792749 | All Stars Turn into Dust [7k Evanescent | Starlight],6.2413,2824,3.3285,1.1067,0.9780
2783890 | Saraba Senyuu [Lulu's Insane],6.2405,4384,3.4839,1.0697,0.9850
4369079 | Fin.ArcDeaR [MAXIMUM],6.2385,1960,3.4507,1.0425,1.0663
4596296 | Back to the WORLD [Triumphal Return],6.2385,2079,3.4008,1.0704,0.9387
4952416 | Aquatic [Extra],6.2381,3780,2.5888,0.9517,0.9511
220960 | Ende [SHD],6.2348,1834,3.2747,1.1244,0.9697
3627370 | SILENT BLUE [Stan's Re:MASTER],6.2336,2112,3.4566,1.0981,1.0280
4607104 | Ars Nova ni Kassai o [Art // Extra],6.2333,2630,3.1898,1.0766,0.9435
1366215 | Scars of FAUNA [Amaryllis],6.2226,1975,3.3238,1.0903,0.9492
3159296 | Tadoru Kimi o Koete [Stan's Blue Another],6.2187,2074,3.3397,1.0367,0.9655
1146138 | Crescent Moon Island [Insane],6.2168,1955,3.2854,1.1089,0.9321
282766 | Shining Collection [Pew's SC],6.2128,2767,3.5686,1.1339,1.0019
3697034 | Marunouchi Sadistic [Sadistic Routine],6.2087,4491,3.5729,1.0101,1.0620
1473421 | Otenba Koimusume [BMS LV.05 wawather [Stream -Beginner-]],6.2084,2199,3.0332,1.0004,0.9682
4179895 | Thrilling One-way [Tyros Cryomoon],6.2076,1942,3.1295,1.0492,0.9120
4356219 | sub/zerO [Glacial Allure],6.2076,5653,3.2887,1.0311,1.0023
773126 | Kanshou no Matenrou [Eternity],6.2062,4391,3.6115,1.1669,0.9657
4508056 | Sasayaka na Inori [My Little Prayer],6.2058,2783,3.6755,0.9906,0.9839
1529790 | 220 - Kumano [Kumano!! Kumano!! Kuma!!],6.2055,735,3.4954,1.0482,1.0170
3118468 | Orfevre [Extra],6.2038,1963,3.0468,1.1169,0.9635
3092215 | Timeline [Future | SC],6.2033,1620,3.5418,1.0991,0.9357
2278396 | Crush [Starlight [1.1x Rate]],6.2023,2860,2.9787,0.9946,0.9792
2224886 | Oriental Blossom [7K MALLOW FLOWER],6.1992,1926,3.3431,1.0569,0.9736
415541 | Heroes of Our Time [Marathon Legend],6.1987,5546,3.7731,1.1128,1.0425
720559 | ANiMA [Pew's 7K Lv.36],6.1975,1582,3.5768,1.1279,0.9872
4217482 | Ouka Ryouran [Blossom],6.1962,2064,3.1370,1.0397,0.9493
4452392 | Majestic 12 [ET],6.1953,5934,3.5066,1.0207,1.0152
3463034 | HANIPAGANDA [PENGDOLL'S EXTRA],6.1949,2895,3.6051,1.0516,0.9750
2981087 | Nakano Yuko Map Collection [Widowmaker - Giselle],6.1912,2647,3.2798,1.0755,0.9707
802747 | Kengen / great three [Alice],6.1863,2358,3.5160,1.0692,0.9853
1958520 | L.F.O [0.1Hz],6.1860,1901,3.3815,1.0778,0.9673
983833 | salvation [Repentance],6.1826,4441,3.4689,1.1037,0.9434
4055442 | Happy Time wa Owaranai (Cut Ver.) [Never-ending Adventures],6.1804,2076,3.1823,0.9697,0.9569
2894515 | Influencer (Lize Helesta x Inui Toko Cover) [Lvl 09 BMS (Bracket)],6.1796,4743,3.0459,1.0583,0.9423
1532817 | ENDYMION [underjoy's Another],6.1775,2027,3.4110,1.0590,0.9986
3316555 | R [Symphony],6.1773,2207,3.2728,1.1366,0.9182
1557301 | For UltraPlayers [EXHAUST],6.1760,1965,3.4510,1.0100,1.0479
4316844 | Barberia Tango [7K Real],6.1689,1895,3.4979,1.1320,0.9605
709055 | Uchouten Vivace [Vivace],6.1681,1868,3.2999,1.1381,0.9478
2220305 | Sparkle [original ver.] [Fate],6.1612,2989,3.9690,1.0660,1.0137
969188 | Regular Dan Phase II [5th Dan (Marathon)],6.1599,8620,3.5178,1.0561,1.0154
2861769 | Flamewall [Crimson Eruption],6.1584,6829,3.4023,1.0300,1.0324
761537 | Satori Maiden ~ 3rd Eye [Pianissimo],6.1534,2686,3.1120,1.0313,0.9561
4021624 | BLUE ARMY (Raytoly's Progressive Hardcore Sped Up Edit) [Another],6.1519,2522,3.4136,1.1107,1.0029
4300655 | late in autumn [Normal Lv.36],6.1501,4644,3.2110,1.0997,1.0015
4031573 | Kyu~Mai*flower [Hanabira],6.1494,1719,3.0279,1.0264,0.9248
3539105 | Kono Machi ni Hare wa Konai [Submerged],6.1447,3696,3.7608,1.1575,0.9740
1494875 | electro peaceful (akiy2344's 8bit-fuu cover) [Notes of Peace],6.1438,2366,2.9113,1.0325,0.9765
2447711 | Idola [Phantasma],6.1438,2072,3.4113,1.0845,0.9647
972694 | * Crow Solace * [KK's 7K Extra],6.1426,1621,3.7104,1.0916,1.0002
310503 | Shuffle Heaven [DJPop's Insane],6.1395,1781,2.9200,1.0753,1.0404
1946528 | KIZUNA MUSIC [Crescendo],6.1374,4870,3.3072,1.1427,0.9204
"4021823 | Sad Dream [Welcome Back, O'sleeping Dreamer]",6.1321,3668,3.5940,1.0303,1.0117
1481893 | 7K Endurance and Technical Training Pack [Memoria],6.1294,4054,3.0479,1.0282,1.0043
2146053 | Protoflicker [Mystic [1.2x Rate]],6.1280,2602,2.8118,1.0232,0.9595
1658908 | Further [AncuL's Another],6.1261,1958,3.2747,0.9852,0.9444
4436311 | Life is Journey [Collab Joy],6.1260,4311,3.2516,1.0728,0.9882
2650100 | INFINITI MOFULITY (Cut Ver.) [ioi],6.1239,1605,3.4812,1.1281,0.9799
4223389 | TWiNKLE CiRCLE [WE LOVE MUSiC],6.1210,1920,3.0721,0.9980,0.9316
1035076 | Hesperides [Another],6.1178,1735,3.3538,1.0628,1.0690
3116123 | Rainbow Magic!! [Extra],6.1177,2074,3.2487,1.0508,1.0672
1210523 | Sennen no Kotowari [GRAVITY],6.1171,1736,3.4325,1.0956,0.9995
4626777 | Tsunagaru Connect (TV Size) [Happiness],6.1156,1511,3.3285,0.9769,0.9775
1155703 | Seven Colors [LordRaika's 7K EX],6.1094,3332,3.4171,1.0645,1.0186
4577350 | Kagaribi [Extra],6.1082,2653,3.2176,1.0106,1.0255
4186405 | Selenadia [Expert],6.1070,2493,3.2874,1.0484,1.0339
1227568 | Mahou ga Umareta Hi [Elegance Lunatic],6.1052,3848,3.5269,1.0856,0.9579
3422716 | Pure Ruby [Black Another],6.1044,2099,3.2512,1.0574,0.9685
4384593 | Nemurasareta Lineage [Philomela],6.1031,3087,3.8992,0.9787,1.0750
454176 | Haryu [S.Star's Insane],6.1030,2121,3.2393,1.0780,0.9346
3547964 | PRAGMATISM -RESURRECTION- [Past],6.1026,2682,2.9392,1.0391,1.0145
1291990 | Memoria (Original Mix) [7K SHD],6.1017,4692,2.9683,1.1184,0.9707
1337055 | Piano 7K BMS Pack [Virkato Wakhmaninov - Ongaku],6.0998,2048,3.4673,1.1522,0.9065
403124 | Souzou Forest [Lv.34],6.0993,2547,3.8731,1.1270,1.0199
4269214 | tinnitus [Another],6.0977,2921,3.2156,1.0374,1.0303
4720740 | T.B.H [Expert],6.0970,2409,3.6963,1.0865,1.0086
4004366 | GIMME DA BLOOD [Beyond],6.0954,2367,3.4037,1.0280,0.9684
687730 | furioso melodia [7K furioso maratona],6.0946,4898,3.5226,1.0805,0.9553
2981088 | Nakano Yuko Map Collection [M2U - Gypsytronic (Long Ver.)],6.0920,3453,3.3521,1.1238,0.9564
973284 | Shounen wa Sora o Tadoru Prog Piano Remix [INFINITE],6.0910,2011,3.2574,1.1837,0.9258
565759 | OVERDRIVERS [INFINITE],6.0897,1680,3.5379,1.0937,0.9855
973380 | archive::zip [GRAVITY],6.0894,1812,3.4699,1.0692,0.9406
4750372 | TATATATA [TA x3],6.0864,945,3.0660,1.0763,0.9266
487517 | Entrance [7K Another],6.0781,1670,3.1900,1.1024,0.9418
2839930 | Nhelv [Another],6.0774,2458,3.1787,1.0550,1.0256
542264 | Disconnected [lZenxl's 7K SSSHD],6.0767,2907,2.6693,1.0293,0.9174
2706978 | Star of the COME ON!! [ANOTHER!!],6.0716,2851,3.2801,1.0512,1.0273
4560714 | Tonight We Fly [Another],6.0716,1954,3.7502,1.0614,1.0468
3382107 | United (L.A.O.S Remix) [Extra],6.0694,5812,3.0417,1.0607,0.9606
568463 | Identic Conflict [Birdcage],6.0677,4087,3.5858,1.1651,0.9470
1481887 | 7K Endurance and Technical Training Pack [midnight lightning bolt],6.0675,3161,3.2425,1.0483,1.0052
3880272 | Keitai Renwa [Our Story],6.0670,2187,3.2526,1.0102,0.9581
663668 | Beethoven Influenza [Infection],6.0670,2117,3.7666,1.2020,0.9301
2241040 | AsiaN distractive [Orientalism],6.0668,1732,3.5129,1.0703,0.9830
4411951 | Burning Star [BKwind's Expert],6.0642,3149,3.0525,1.0875,0.9686
369028 | TRIGGER*HAPPY [Pew's EX],6.0605,1437,3.7373,1.1350,0.9741
4478355 | Dust Powered Sniper Rifle [Crystallized],6.0595,3152,3.5236,1.0312,1.0226
4300756 | Himiko [taba2's Black Another],6.0580,2028,3.2271,1.0561,0.9826
4212617 | Kenka no Bannin [flowers blooming in the winter],6.0546,3227,3.8258,0.9932,1.0670
1215324 | Grayed Out -Antifront- [7K Black Another],6.0537,1754,3.3405,1.0896,0.9494
3957035 | theyaremanycolors [emirianother],6.0506,2255,3.4587,1.0941,1.0278
4006938 | THE EARTH [616's Extra Rice],6.0506,2290,2.8697,0.9803,0.9598
3052007 | eighth-slave [Cat's slave for this song // CT's MAXIMUM],6.0493,3965,3.5119,1.1479,0.9604
4286337 | Playing with Ruby (Cut Ver.) [Blocko's Another],6.0486,4242,3.1578,1.0458,0.9868
1978784 | Taiyou to Himawari (Cut Ver.) [LN],6.0461,754,3.8770,0.9985,1.0709
4763041 | Fractured Heaven [Angel],6.0414,2899,3.3665,1.0983,1.0047
3499108 | AO-Infinity [White Another],6.0382,2791,3.4918,1.1105,0.9713
1815213 | Natsukoi -Instrumental- (Cut Ver.) [7k LN],6.0364,1684,3.5364,1.0444,0.9793
884516 | Aragami [AncuL's 7K Another],6.0319,1592,3.4752,1.1313,1.0296
1278457 | Inscape [Lulu's EXHAUST],6.0295,1887,3.2510,1.0435,1.0338
2939237 | L99 [EX+],6.0280,2715,2.9061,1.0374,0.9472
228210 | Rhythmical Planet [Collab],6.0241,3142,3.6318,1.1117,0.9717
1794667 | Blue (Da Ba Dee) [lv.43],6.0222,3137,3.2346,1.0231,0.9436
4531578 | Voyage [Black Another],6.0191,3256,3.0251,1.0529,0.9360
756026 | Ghostly Band ~ Phantom Ensemble [Phantom Curtain],6.0188,2676,3.3745,1.0281,0.9686
2829642 | Qilin's Prance [The Merciful | Extra],6.0165,858,3.9253,1.0792,0.9902
2481197 | Delrio [7K Remastered],6.0145,2861,3.5705,1.0858,0.9780
4926960 | Shizuka na Yoru ni [Forthrightness],6.0131,3840,3.2786,1.0753,0.9479
4301122 | Playing God [Kamisama],6.0040,2312,3.9228,1.0361,1.0754
3889802 | w/WWW feat. Hoshimiya Toto [7K // Extra],6.0022,3512,3.2950,1.0366,1.0107
3256639 | L9 [7K Insane],6.0011,1778,2.6214,0.9695,0.9677
3498412 | Gimmme! [Oyasumi 1.1x],5.9988,4311,2.9186,0.9886,0.9555
4678812 | Leschenaultia [Extra],5.9983,2322,2.9523,1.0376,0.9688
1651133 | GO! GO! MANIAC (TV Size) [Another],5.9979,1408,3.4598,1.0299,0.9867
4619195 | Prismatic Lollipops [Lv. 6 | Extra],5.9971,1611,3.1838,1.0354,0.9943
1615738 | Paran Nunmul Sonnet (feat. Seorryang) [Lovely Lunatic],5.9954,5320,3.4014,1.1885,0.9818
