Beatmap,SR,Objects,Variety,Spikiness,Switch
2009161 | Koakuma x3 no Daidasso!? [Blocko's Mixed Devil],9.4213,3246,3.2575,1.0262,0.9834
4837429 | Sakazuki [aci's Against],9.4077,4130,2.3981,1.0402,0.8759
2089432 | Ragnarok [The Last Omen // 7K],9.4041,8303,3.0972,1.0185,0.9899
2672367 | Kim_GodSSI's LN Practice Pack 1 [Nagiha - Arcana Idola],9.4035,2027,3.3467,0.9959,1.0057
2513195 | Aurolla [AURORA],9.4005,3522,2.9938,1.0223,0.9570
3425576 | Levier'n NabYss [ABYSS],9.3970,3648,2.7526,1.0516,0.9457
774288 | Penguin (Pinnacle Remix) [7K],9.3739,2451,3.3222,1.0611,0.9950
4275213 | Speedcore Sonata [Incessant Rain],9.3709,4695,2.9167,1.0917,0.9936
2923828 | KLASSIKER EINHEIT [BMS LV.25 (1.2x) [Yasashiku]],9.3647,6876,2.4876,0.9951,0.9943
2477483 | PEACE BREAKER [Fallout. 1.2],9.3536,8114,2.9710,1.0292,1.0661
3413773 | saihate [Leeju's 7K Eternal Slumber 1.3x],9.3503,3381,3.0337,1.0070,1.0304
2465484 | Pengdoll's BOSS Map Collection [LiA - Hoshi Shoujo Stellar Union],9.3474,3136,3.0485,1.0631,1.0097
2769921 | Frontier Explorer [Voyager [1.1x Rate]],9.3410,4482,2.4942,0.9843,0.9537
2570281 | LN Dan Phase III [Azimuth Dan],9.3160,10980,3.5867,0.9943,1.0590
4009587 | Beyond The Aexis [Schadenfreude],9.3146,5704,3.4528,1.0276,1.0301
4129720 | Kick-ass Kung-fu Carnival [Kickaholic],9.3103,7829,2.9144,1.0280,0.9508
4675234 | ResolvE -means to an end- [Pursuit of Determination],9.3075,7777,3.2966,0.9949,0.9984
1679790 | Last Resort [Jakads' LASTING LEGACY],9.3014,3369,3.0632,1.0442,0.9504
2981103 | Nakano Yuko Map Collection [Camellia - Blackmagik Blazing],9.2996,7408,2.8926,1.0735,0.9612
4520604 | Campanella [NoName's 7K Ascension],9.2988,4065,2.6015,0.9874,0.9714
2989030 | Nakano Yuko Map Collection [Memme - Erebus],9.2928,3741,3.2349,0.9956,1.0543
1104267 | K.Y.A.F.A. [ETERNAL HAVOC],9.2832,9552,2.8958,1.0005,1.0168
4021626 | BLUE ARMY (Raytoly's Progressive Hardcore Sped Up Edit) [Ascension],9.2682,4857,2.7920,0.9849,1.0255
4116682 | Gaehwa [Cherry Blossom],9.2621,3853,3.2985,1.0141,0.9867
3124652 | Lost Umbrella (7_7 bootleg) [Rain 1.3x],9.2424,4144,2.6460,0.9691,1.0072
4183517 | Selenadia [Ascension],9.2409,4195,2.5697,0.9999,0.9511
2753424 | Generic Holiday Song [* Merry Christmas ! ! * [1.4x Rate]],9.2372,3370,2.9122,1.0485,0.9352
3505512 | Gypsophila [cocoon st0 1.4x (211bpm)],9.2352,2569,3.1569,1.0169,1.1338
3953704 | Rite of Ascendancy [Ultimate Evolution // tyrcs' 7K],9.2351,8558,3.9068,1.0864,1.0314
4009578 | Never Gonna Give You Up (Camellia Remix) [rickrollab],9.2310,4007,3.4557,0.9914,1.0742
3362667 | crazy_tek (DJ Noriken Remix) [UHD 2021 ver. 0.9x],9.2303,4195,2.9447,1.0131,1.0030
2030894 | Regular Dan Phase III [Azimuth Dan],9.2225,14219,3.0584,0.9917,0.9864
4478869 | Clinozoisite [Intangible],9.2085,8000,3.2722,1.0129,1.0481
4499660 | Baryogenesis [Symmetry Break],9.2072,7513,2.9662,0.9957,1.0380
3401407 | Aegleseeker [Lux Mea],9.1911,4444,2.8531,1.0215,0.9866
3940625 | of Ambrosia [Blocko's 7K Amrita],9.1872,8593,3.5317,1.0268,1.0452
4673272 | Cheatreal [Illegal Legacy],9.1819,7444,3.1120,1.0230,0.9921
3362668 | crazy_tek (DJ Noriken Remix) [UHD],9.1684,4011,2.8334,1.0254,0.9695
"3844594 | Aegleseeker (""Afterworld"" Full Version) [Revelation]",9.1581,8888,3.3514,1.0642,1.0291
1474274 | Blue Zenith [JINDIMENSIONS (No LN ver)],9.1413,7300,2.6818,1.0003,1.0134
2981078 | Nakano Yuko Map Collection [Camellia - This Future (we didn't expect)],9.1403,5431,3.5356,1.0618,1.0438
4797715 | FAKE PROMISE [TRUTHFUL LIE 1.1x (210)],9.1385,11950,2.4254,0.9835,0.9610
3809992 | Z:iRNiTRA [D:YSTOPiA],9.1282,9515,3.2587,1.0403,0.9929
2579639 | Cyber Inductance [AAA 210bpm],9.1228,8816,2.3884,0.9610,0.9585
3855012 | BEYOND [Ultra],9.1100,3662,2.9332,1.0048,1.0260
3691996 | Triumphal Return [Challenge],9.1050,4315,2.7406,0.9829,1.0054
2465481 | Pengdoll's BOSS Map Collection [fallen shepherd feat. RabbiTon Strings - ENDYMION],9.1032,3418,2.8779,1.0136,0.9656
2008039 | Koakuma x3 no Daidasso!? [Rice Devil],9.0816,3500,2.8987,1.0276,0.9337
3918036 | FINAL BLENDERMAN APPEARED. (feat. RichaadEB) [Irreversible Occoecatio],9.0773,7019,3.3605,1.0299,1.0343
1031373 | Wizdomiot [bbu2's LN],9.0663,2677,3.5713,1.0809,1.0224
3423799 | Exitium [Artifact],9.0572,3606,3.1421,1.0660,0.9823
1653265 | satori de pon! [Re : HaRaSho],9.0549,4340,2.6865,0.9686,0.9969
3769131 | Galaxy Collapse [Black Hole],9.0490,9194,3.2585,1.0716,0.9153
3497002 | DOOMSDAY THUNDERTEMPEST [FINAL LAP ONTO DISASTER],9.0429,10131,3.2127,1.0540,0.9877
4076294 | theyaremanycolors [overflow],9.0377,4026,3.0473,1.0256,0.9956
4522708 | Oxalis [Espiazione.],9.0377,7524,3.0079,1.0204,0.9965
4574013 | DiSANiMATE [Extreme],9.0343,9000,3.0461,1.0141,0.9729
1857799 | Zouka de Arou to Shita Mono [Lunatic x1.4],9.0336,4162,2.8389,1.0002,0.9753
2607936 | Pengdoll's BOSS Map Collection [BEMANI Sound Team(PHQUASE vs. DJ TOTTO) - TWO-TORIAL],9.0334,2885,3.1983,1.0281,0.9919
2540701 | Palette GAMMA [sp10],9.0318,2357,2.8098,0.9861,1.0543
2617975 | Exterminate [7k Noodles],9.0291,4578,3.3812,0.9922,1.0124
1309812 | SSjoy Dan [xi - Aparajita],9.0269,5963,2.8489,1.0283,0.9708
1542074 | SSjoy Dan [xi - Glorious Crown],9.0227,6369,2.8615,1.0363,0.9910
2672362 | Kim_GodSSI's LN Practice Pack 1 [Camellia - Panic Toy World: Isoide! Omocha no Athletics],9.0199,6337,3.0984,0.9633,1.0300
1679797 | Last Resort [Streamy's HEAVENLY],9.0126,3053,3.1505,1.0807,0.9663
3682399 | Catch the Glory [Honour Defender],9.0086,8863,3.4152,0.9990,1.0186
4554406 | Ataraxia [REMUJinjin's 7K Tranquility],9.0074,3114,3.0551,1.0140,0.9611
4145957 | Signal of Abydos (xi Remix) [yume],9.0013,7165,2.8302,1.0181,0.9784
904192 | over the top [Ekstrak [EX]],9.0002,3549,2.6398,0.9843,0.9874
3389406 | FREEDOM DiVE [DiMENSION],8.9993,7586,2.7024,0.9994,0.9855
3393665 | ReviXy [ETJun 1.2x],8.9952,4097,2.8156,0.9748,0.9778
3563179 | GuNGNiR [Requiem],8.9944,3236,3.1008,1.0513,0.9733
3568144 | Gypsophila [cocoon st0 1.35x (204bpm)],8.9849,2569,3.1791,1.0175,1.1338
1351349 | Hold Angel [Archangel],8.9801,2475,3.1389,1.0262,0.9766
1940272 | Hoshi o Kakeru Adventure ~ we are forever friends! ~ [Long ver.] [Best Friends!],8.9784,7535,3.2974,1.0365,0.9713
1316679 | Piano Beatmap Set [7K HELL CIRCUS],8.9767,7288,2.9376,1.0815,0.9995
2981065 | Nakano Yuko Map Collection [Cosmo - CYBER SHAMAN],8.9719,13154,2.7781,0.9769,1.0367
2465483 | Pengdoll's BOSS Map Collection [LeaF - Calamity Fortune],8.9699,3691,2.9155,1.0022,1.0069
2836421 | Quark no Umi o Oyoide [Glit 0.8x],8.9690,4238,2.8331,1.0126,0.9606
3362667 | crazy_tek (DJ Noriken Remix) [UHD 2021 ver. 0.85x],8.9684,4195,3.0315,1.0150,1.0028
3779106 | Uta [Postmortal Harmony],8.9655,10777,3.4063,1.0384,1.0098
1542072 | SSjoy Dan [AAAA - Hoshi o Kakeru Adventure ~ we are forever friends! ~ [Long ver.]],8.9610,6595,3.3426,1.0913,0.9431
1933287 | GO FOR IT !! (Cut Ver.) [BC x1.4(206)],8.9605,3366,2.4953,0.9773,0.9517
